Date,USD_INR,EUR_INR,GBP_INR,JPY_INR
2006-09-12,46.184,58.616,86.6,0.392
2006-09-13,46.004,58.416,86.38,0.3917
2006-09-14,45.914,58.408,86.59,0.3905
2006-09-15,46.049,57.905,86.49,0.3889
2006-09-18,46.048,58.518,86.61,0.3905
2006-09-19,46.03,58.348,86.6,0.3913
2006-09-20,46.031,58.402,86.89,0.392
2006-09-21,45.789,58.514,87.09,0.3934
2006-09-22,45.821,58.352,87.04,0.3907
2006-09-25,45.793,58.375,87.02,0.3932
2006-09-26,45.891,58.223,86.95,0.3917
2006-09-27,45.831,58.228,86.57,0.3902
2006-09-28,45.828,58.208,86.0,0.3891
2006-09-29,45.715,57.901,85.67,0.3876
2006-10-02,45.714,58.242,86.25,0.3885
2006-10-03,45.716,58.202,86.22,0.3871
2006-10-04,45.632,58.011,86.08,0.3873
2006-10-05,45.594,57.875,85.64,0.3868
2006-10-06,45.488,57.047,85.12,0.3809
2006-10-09,45.629,57.485,85.21,0.3836
2006-10-10,45.67,57.227,84.67,0.3816
2006-10-11,45.552,57.037,84.48,0.3804
2006-10-12,45.514,57.153,84.62,0.3812
2006-10-13,45.245,56.465,84.09,0.3775
2006-10-16,45.354,56.865,84.45,0.3812
2006-10-17,45.133,56.61,84.47,0.3807
2006-10-18,45.211,56.678,84.43,0.3801
2006-10-19,45.206,57.082,84.85,0.3823
2006-10-20,45.234,56.817,85.22,0.3794
2006-10-23,45.329,56.882,84.91,0.3799
2006-10-24,45.153,56.702,84.58,0.3782
2006-10-25,45.29,57.129,85.1,0.3807
2006-10-26,45.17,57.34,85.39,0.3815
2006-10-27,45.005,57.135,85.45,0.3813
2006-10-30,44.829,57.0,85.15,0.381
2006-10-31,44.835,57.235,85.54,0.3839
2006-11-01,44.712,57.023,85.27,0.3813
2006-11-02,44.819,57.272,85.51,0.3826
2006-11-03,44.801,56.662,85.2,0.3778
2006-11-06,44.811,57.024,85.06,0.3792
2006-11-07,44.756,57.184,85.29,0.3805
2006-11-08,44.614,56.923,84.98,0.3786
2006-11-09,44.454,57.039,84.76,0.3773
2006-11-10,44.611,57.123,85.19,0.3781
2006-11-13,44.802,57.45,85.33,0.3808
2006-11-14,45.09,57.762,85.47,0.3833
2006-11-15,45.193,57.957,85.38,0.3833
2006-11-16,44.77,57.267,84.54,0.3786
2006-11-17,44.773,57.211,84.97,0.3788
2006-11-20,44.935,57.592,85.25,0.3806
2006-11-21,44.898,57.653,85.26,0.3808
2006-11-22,44.574,57.666,85.32,0.3817
2006-11-23,44.632,57.802,85.51,0.3838
2006-11-24,44.53,58.15,86.26,0.3834
2006-11-27,44.591,58.58,86.45,0.3842
2006-11-28,44.599,58.9,87.11,0.3845
2006-11-29,44.614,58.68,86.85,0.3833
2006-11-30,44.551,59.018,87.6,0.3851
2006-12-01,44.435,59.036,88.24,0.3837
2006-12-04,44.537,59.387,88.21,0.386
2006-12-05,44.494,59.248,87.8,0.3871
2006-12-06,44.615,59.271,87.73,0.3869
2006-12-07,44.574,59.208,87.48,0.3869
2006-12-08,44.465,58.653,87.09,0.3766
2006-12-11,44.693,59.22,87.61,0.3827
2006-12-12,44.774,59.462,88.25,0.3837
2006-12-13,44.734,59.129,88.01,0.3811
2006-12-14,44.672,58.778,87.65,0.3795
2006-12-15,44.475,58.18,86.8,0.3759
2006-12-18,44.716,58.592,87.12,0.3787
2006-12-19,44.691,59.028,88.07,0.3787
2006-12-20,44.673,58.895,87.8,0.3776
2006-12-21,44.531,58.705,87.38,0.3766
2006-12-22,44.305,58.104,87.17,0.3721
2006-12-25,44.305,56.421,87.17,0.3722
2006-12-26,44.305,56.421,87.17,0.3612
2006-12-27,44.26,58.063,86.58,0.3726
2006-12-28,44.277,58.213,86.88,0.3723
2006-12-29,44.04,58.014,86.61,0.3693
2007-01-01,44.215,58.444,86.83,0.3719
2007-01-02,44.122,58.577,87.06,0.3713
2007-01-03,44.111,58.09,86.09,0.3696
2007-01-04,44.095,57.906,85.95,0.3723
2007-01-05,44.14,57.284,85.35,0.3714
2007-01-08,44.255,57.639,85.77,0.3724
2007-01-09,44.21,57.579,85.92,0.3714
2007-01-10,44.375,57.477,85.83,0.3716
2007-01-11,44.425,57.262,86.36,0.369
2007-01-12,44.255,57.2,87.2,0.3668
2007-01-15,44.135,57.085,86.69,0.3664
2007-01-16,44.125,57.143,86.74,0.3662
2007-01-17,44.025,57.174,87.07,0.3663
2007-01-18,44.085,57.349,87.36,0.3649
2007-01-19,44.085,57.121,87.27,0.3629
2007-01-22,44.045,57.126,87.2,0.3627
2007-01-23,44.075,57.472,87.47,0.3627
2007-01-24,44.085,57.25,86.92,0.3654
2007-01-25,44.085,57.164,86.82,0.3634
2007-01-26,44.015,56.915,86.29,0.3612
2007-01-29,44.07,57.302,86.71,0.3631
2007-01-30,43.975,57.012,86.29,0.3614
2007-01-31,44.005,57.29,86.39,0.3644
2007-02-01,43.945,57.322,86.62,0.3644
2007-02-02,43.935,56.97,86.31,0.3622
2007-02-05,43.965,56.783,86.08,0.3653
2007-02-06,44.054,57.191,86.83,0.367
2007-02-07,44.014,57.311,86.76,0.365
2007-02-08,44.052,57.432,86.28,0.3636
2007-02-09,43.865,57.031,85.77,0.3594
2007-02-12,44.074,57.128,85.82,0.362
2007-02-13,43.961,57.289,85.53,0.3625
2007-02-14,43.874,57.638,86.16,0.3647
2007-02-15,44.015,57.817,85.89,0.3687
2007-02-16,43.805,57.547,85.416,0.3662
2007-02-19,43.992,57.856,85.8,0.3675
2007-02-20,44.117,57.994,86.28,0.3676
2007-02-21,44.078,57.914,86.11,0.3645
2007-02-22,44.171,57.969,86.42,0.3635
2007-02-23,44.015,57.968,86.379,0.3629
2007-02-26,44.098,58.175,86.59,0.3655
2007-02-27,44.114,58.365,86.57,0.3735
2007-02-28,44.016,58.235,86.45,0.3706
2007-03-01,44.196,58.194,86.5,0.3753
2007-03-02,44.035,57.963,85.536,0.3757
2007-03-05,44.514,58.254,85.49,0.3851
2007-03-06,44.112,57.946,85.34,0.3777
2007-03-07,44.435,58.546,85.75,0.384
2007-03-08,44.113,57.96,85.12,0.3765
2007-03-09,44.01,57.719,85.01,0.3711
2007-03-12,44.053,58.098,85.11,0.3745
2007-03-13,44.015,58.052,84.91,0.3792
2007-03-14,44.232,58.503,85.76,0.3771
2007-03-15,44.152,58.62,85.58,0.3767
2007-03-16,43.89,58.446,85.25,0.3751
2007-03-19,44.02,58.587,85.66,0.3741
2007-03-20,43.454,57.872,85.24,0.3707
2007-03-21,43.442,58.22,85.54,0.3701
2007-03-22,43.434,57.909,85.34,0.3677
2007-03-23,43.305,57.567,84.941,0.3661
2007-03-26,43.155,57.528,85.02,0.3653
2007-03-27,43.053,57.528,84.67,0.3656
2007-03-28,43.09,57.378,84.56,0.3688
2007-03-29,43.575,58.102,85.52,0.3692
2007-03-30,43.045,57.575,85.0,0.365
2007-04-02,43.174,57.723,85.39,0.3666
2007-04-03,43.012,57.305,84.88,0.362
2007-04-04,42.808,57.246,84.61,0.3606
2007-04-05,42.696,57.337,84.17,0.3597
2007-04-06,42.695,57.211,84.76,0.3582
2007-04-09,42.872,57.253,84.11,0.3595
2007-04-10,42.594,57.198,83.97,0.3575
2007-04-11,42.613,57.259,84.2,0.3572
2007-04-12,42.552,57.393,84.25,0.3575
2007-04-13,42.365,57.311,84.149,0.3546
2007-04-16,41.775,56.512,83.07,0.3488
2007-04-17,41.853,56.8,84.01,0.3518
2007-04-18,41.835,56.958,84.03,0.353
2007-04-19,42.075,57.32,84.3,0.3558
2007-04-20,41.52,56.42,83.235,0.3492
2007-04-23,41.58,56.46,83.16,0.3505
2007-04-24,41.013,55.908,82.09,0.3461
2007-04-25,40.854,55.721,81.79,0.3443
2007-04-26,40.729,55.345,81.08,0.3407
2007-04-27,40.725,55.622,81.366,0.3394
2007-04-30,40.969,55.927,81.93,0.3431
2007-05-01,41.114,55.907,82.14,0.343
2007-05-02,40.976,55.669,81.48,0.3409
2007-05-03,40.933,55.473,81.37,0.3401
2007-05-04,40.515,55.048,81.07,0.3365
2007-05-07,40.7,55.357,81.12,0.3391
2007-05-08,40.691,55.106,80.95,0.3392
2007-05-09,40.614,54.935,80.96,0.338
2007-05-10,41.216,55.556,81.57,0.3439
2007-05-11,40.675,55.737,81.66,0.3431
2007-05-14,40.655,55.054,80.45,0.3378
2007-05-15,40.88,55.555,81.16,0.34
2007-05-16,40.758,55.102,80.57,0.3375
2007-05-17,40.53,54.69,80.03,0.3341
2007-05-18,40.305,54.458,79.607,0.3323
2007-05-21,40.535,54.591,79.91,0.3337
2007-05-22,40.542,54.533,80.06,0.3333
2007-05-23,40.49,54.489,80.42,0.3331
2007-05-24,40.495,54.371,80.38,0.3336
2007-05-25,40.215,54.099,79.738,0.33
2007-05-28,40.514,54.477,80.34,0.3327
2007-05-29,40.369,54.279,79.94,0.332
2007-05-30,40.529,54.437,80.09,0.3334
2007-05-31,40.546,54.549,80.26,0.333
2007-06-01,40.215,54.071,79.709,0.3287
2007-06-04,40.135,54.141,79.92,0.3297
2007-06-05,40.16,54.287,80.03,0.3309
2007-06-06,40.493,54.643,80.67,0.3346
2007-06-07,40.452,54.32,80.01,0.3346
2007-06-08,40.76,54.504,80.309,0.3342
2007-06-11,40.509,54.096,79.77,0.3327
2007-06-12,40.57,53.986,80.11,0.3336
2007-06-13,40.552,53.972,80.0,0.3307
2007-06-14,40.557,53.975,79.87,0.3298
2007-06-15,40.46,54.186,80.014,0.3269
2007-06-18,40.437,54.242,80.21,0.3269
2007-06-19,40.654,54.569,80.8,0.3294
2007-06-20,40.48,54.22,80.63,0.3278
2007-06-21,40.534,54.281,80.77,0.3276
2007-06-22,40.495,54.541,80.928,0.3254
2007-06-25,40.653,54.727,81.22,0.3289
2007-06-26,40.753,54.807,81.43,0.3312
2007-06-27,40.818,54.921,81.61,0.3313
2007-06-28,40.714,54.747,81.51,0.3304
2007-06-29,40.53,54.908,81.436,0.328
2007-07-02,40.532,55.246,81.77,0.3314
2007-07-03,40.355,54.926,81.39,0.3294
2007-07-04,40.413,55.013,81.48,0.3294
2007-07-05,40.395,54.916,81.27,0.3286
2007-07-06,40.31,54.93,81.067,0.3263
2007-07-09,40.229,54.807,81.07,0.3261
2007-07-10,40.175,55.259,81.43,0.3309
2007-07-11,40.31,55.428,81.89,0.3297
2007-07-12,40.454,55.779,82.09,0.3305
2007-07-13,40.2,55.426,81.77,0.3292
2007-07-16,40.174,55.355,81.82,0.3298
2007-07-17,40.293,55.565,82.48,0.3303
2007-07-18,40.333,55.681,82.82,0.3309
2007-07-19,40.194,55.462,82.35,0.3291
2007-07-20,40.125,55.483,82.505,0.3302
2007-07-23,40.051,55.282,82.47,0.3309
2007-07-24,40.217,55.602,82.9,0.3345
2007-07-25,40.232,55.204,82.58,0.3339
2007-07-26,40.176,55.23,82.26,0.3391
2007-07-27,40.32,54.987,81.664,0.3399
2007-07-30,40.454,55.455,82.02,0.3395
2007-07-31,40.398,55.232,82.02,0.3411
2007-08-01,40.373,55.209,82.04,0.3392
2007-08-02,40.149,55.019,81.78,0.337
2007-08-03,40.195,55.419,82.054,0.3399
2007-08-06,40.189,55.454,81.64,0.3383
2007-08-07,40.337,55.429,81.57,0.3394
2007-08-08,40.232,55.528,81.96,0.3361
2007-08-09,40.435,55.289,81.8,0.3417
2007-08-10,40.4,55.334,81.717,0.34
2007-08-13,40.35,54.903,81.18,0.3412
2007-08-14,40.655,55.015,81.18,0.3461
2007-08-15,40.877,54.879,81.21,0.3515
2007-08-16,41.093,55.16,81.57,0.3601
2007-08-17,40.985,55.227,81.232,0.3582
2007-08-20,41.02,55.272,81.57,0.3572
2007-08-21,40.96,55.106,81.119,0.3588
2007-08-22,40.96,55.496,81.708,0.3542
2007-08-23,40.775,55.284,81.68,0.3514
2007-08-24,40.84,55.818,82.228,0.3495
2007-08-27,40.9,55.771,82.16,0.3539
2007-08-28,40.893,55.619,81.81,0.3577
2007-08-29,40.896,55.911,82.48,0.3528
2007-08-30,40.991,55.92,82.56,0.3536
2007-08-31,40.575,55.273,81.808,0.3497
2007-09-03,40.791,55.541,82.3,0.3523
2007-09-04,40.715,55.439,82.0,0.3501
2007-09-05,40.834,55.735,82.49,0.3545
2007-09-06,40.575,55.568,82.18,0.3516
2007-09-07,40.34,55.542,81.83,0.355
2007-09-11,40.354,55.84,82.04,0.3531
2007-09-12,40.272,56.005,81.72,0.3527
2007-09-13,40.357,55.951,81.4,0.3521
2007-09-14,40.285,55.911,80.84,0.3482
2007-09-17,40.377,55.985,80.52,0.351
2007-09-18,40.217,56.224,80.96,0.3469
2007-09-19,40.033,55.914,80.08,0.345
2007-09-20,39.615,55.761,79.64,0.3454
2007-09-21,39.77,56.028,80.332,0.3435
2007-09-24,39.431,55.487,79.68,0.3432
2007-09-25,39.66,56.112,80.06,0.3458
2007-09-26,39.633,56.0,79.87,0.3433
2007-09-27,39.653,56.129,80.36,0.3432
2007-09-28,39.575,56.432,80.97,0.3428
2007-10-01,39.668,56.455,81.07,0.3426
2007-10-02,39.573,56.002,80.71,0.342
2007-10-03,39.32,55.409,79.9,0.3371
2007-10-04,39.216,55.415,79.93,0.3366
2007-10-05,39.405,55.701,80.469,0.337
2007-10-08,39.352,55.268,80.1,0.3353
2007-10-09,39.155,55.227,79.77,0.3341
2007-10-10,39.175,55.388,79.98,0.3344
2007-10-11,39.236,55.72,79.81,0.3343
2007-10-12,39.095,55.427,79.648,0.3315
2007-10-15,39.236,55.73,80.12,0.3343
2007-10-16,39.155,55.506,79.57,0.3347
2007-10-17,39.471,56.099,80.51,0.3389
2007-10-18,39.555,56.531,80.85,0.3425
2007-10-19,39.45,56.396,80.924,0.3426
2007-10-22,39.652,56.219,80.59,0.3465
2007-10-23,39.415,56.199,80.82,0.3431
2007-10-24,39.375,56.152,80.71,0.3449
2007-10-25,39.473,56.555,80.97,0.3461
2007-10-26,39.235,56.461,80.546,0.3428
2007-10-29,39.215,56.532,80.81,0.3418
2007-10-30,39.31,56.759,81.29,0.3426
2007-10-31,39.174,56.691,81.47,0.3395
2007-11-01,39.256,56.632,81.55,0.3429
2007-11-02,39.195,56.855,81.737,0.3408
2007-11-05,39.256,56.839,81.7,0.3433
2007-11-06,39.215,57.1,81.85,0.3418
2007-11-07,39.129,57.219,82.17,0.3475
2007-11-08,39.249,57.607,82.73,0.3482
2007-11-09,39.045,57.277,81.779,0.3519
2007-11-12,39.272,57.034,80.68,0.3583
2007-11-13,39.353,57.538,81.65,0.354
2007-11-14,39.26,57.483,80.58,0.3526
2007-11-15,39.214,57.323,80.16,0.3549
2007-11-16,39.175,57.43,80.395,0.3528
2007-11-19,39.155,57.429,80.24,0.3567
2007-11-20,39.156,58.068,80.9,0.3567
2007-11-21,39.255,58.317,80.99,0.3621
2007-11-22,39.455,58.592,81.37,0.3635
2007-11-23,39.6,58.707,81.628,0.3655
2007-11-27,39.716,58.93,82.11,0.3649
2007-11-28,39.631,58.802,82.37,0.3603
2007-11-29,39.573,58.406,81.62,0.3605
2007-11-30,39.455,57.725,81.12,0.3546
2007-12-03,39.494,57.927,81.5,0.3575
2007-12-04,39.352,58.101,81.01,0.3582
2007-12-05,39.398,57.526,79.88,0.3553
2007-12-06,39.392,57.702,79.88,0.3536
2007-12-07,39.36,57.721,79.9,0.3527
2007-12-10,39.344,57.855,80.45,0.3518
2007-12-11,39.293,57.619,79.99,0.3545
2007-12-12,39.294,57.811,80.36,0.3507
2007-12-13,39.309,57.535,80.35,0.3501
2007-12-14,39.24,56.602,79.159,0.3456
2007-12-17,39.373,56.744,79.58,0.3489
2007-12-19,39.49,56.798,78.83,0.3485
2007-12-20,39.489,56.603,78.33,0.3491
2007-12-21,39.235,56.443,77.772,0.343
2007-12-24,39.252,56.498,77.64,0.3438
2007-12-25,39.235,56.498,77.581,0.3423
2007-12-26,39.39,57.125,78.144,0.3451
2007-12-27,39.197,57.278,78.19,0.3442
2007-12-28,39.245,57.755,78.36,0.349
2007-12-31,39.245,57.292,77.954,0.3536
2008-01-01,39.245,57.298,77.98,0.3504
2008-01-02,39.375,57.959,78.03,0.3604
2008-01-03,39.353,58.012,77.66,0.3593
2008-01-04,39.095,57.679,77.083,0.3599
2008-01-07,39.213,57.597,77.14,0.3589
2008-01-08,39.196,57.639,77.28,0.3596
2008-01-09,39.213,57.496,76.76,0.3568
2008-01-10,39.216,58.037,76.91,0.3577
2008-01-11,39.095,57.773,76.49,0.3578
2008-01-14,39.217,58.307,76.63,0.3623
2008-01-15,39.192,58.043,76.77,0.3673
2008-01-16,39.171,57.409,76.87,0.3648
2008-01-17,39.191,57.384,77.23,0.3683
2008-01-18,39.284,57.271,76.82,0.3666
2008-01-21,39.476,56.931,76.82,0.3666
2008-01-22,39.31,57.654,77.37,0.3658
2008-01-23,39.473,57.724,77.2,0.37
2008-01-24,39.369,58.165,77.86,0.3675
2008-01-25,39.275,57.623,77.831,0.3668
2008-01-28,39.295,58.098,78.0,0.3672
2008-01-29,39.21,57.922,78.0,0.3663
2008-01-30,39.347,58.318,78.03,0.3703
2008-01-31,39.314,58.437,78.25,0.3699
2008-02-01,39.273,58.118,77.16,0.3687
2008-02-04,39.272,58.219,77.55,0.3681
2008-02-05,39.451,57.746,77.49,0.3704
2008-02-06,39.536,57.779,77.51,0.3716
2008-02-07,39.459,57.123,76.65,0.3676
2008-02-08,39.535,57.375,76.923,0.368
2008-02-11,39.526,57.321,77.06,0.3699
2008-02-12,39.575,57.71,77.56,0.3686
2008-02-13,39.634,57.691,77.77,0.3661
2008-02-14,39.576,57.924,77.94,0.3669
2008-02-15,39.585,58.105,77.61,0.3669
2008-02-18,39.636,58.07,77.32,0.3664
2008-02-19,39.685,58.46,77.31,0.3677
2008-02-20,40.134,59.081,77.96,0.3714
2008-02-21,39.915,59.134,78.37,0.3716
2008-02-22,39.975,59.289,78.638,0.3724
2008-02-25,39.913,59.201,78.48,0.3695
2008-02-26,39.815,59.704,79.12,0.3708
2008-02-27,39.69,60.005,78.7,0.3731
2008-02-28,39.816,60.474,79.2,0.3795
2008-02-29,39.91,60.619,79.353,0.3842
2008-03-03,40.254,61.185,79.88,0.3888
2008-03-04,40.209,61.151,79.83,0.3889
2008-03-05,40.174,61.371,80.0,0.3866
2008-03-06,40.044,61.617,80.58,0.3905
2008-03-07,40.239,61.815,81.03,0.3925
2008-03-10,40.314,61.854,80.97,0.3975
2008-03-11,40.175,61.62,80.639,0.3884
2008-03-12,39.979,62.113,81.03,0.3938
2008-03-13,40.124,62.7,81.56,0.3986
2008-03-14,40.075,62.543,80.942,0.4039
2008-03-17,40.374,63.597,80.63,0.4161
2008-03-18,40.154,62.863,80.65,0.402
2008-03-19,40.133,62.734,79.6,0.4065
2008-03-20,40.275,62.227,79.94,0.4056
2008-03-21,40.185,61.372,79.687,0.3961
2008-03-24,40.185,61.955,79.814,0.3981
2008-03-25,40.052,62.532,80.2,0.4002
2008-03-26,40.057,63.361,80.38,0.4039
2008-03-27,39.945,63.158,80.16,0.4013
2008-03-28,39.615,62.421,79.018,0.3991
2008-03-31,39.889,62.849,79.12,0.3994
2008-04-02,39.92,62.563,79.32,0.39
2008-04-03,39.884,62.458,79.55,0.3898
2008-04-04,39.805,62.601,79.347,0.3917
2008-04-07,39.873,62.612,79.26,0.3892
2008-04-08,39.829,62.508,78.32,0.3875
2008-04-09,39.817,62.993,78.59,0.3911
2008-04-10,39.89,62.787,78.65,0.3907
2008-04-11,39.775,62.928,78.838,0.3925
2008-04-14,39.869,63.071,78.75,0.3939
2008-04-15,39.864,62.927,78.19,0.3915
2008-04-16,39.829,63.53,78.51,0.391
2008-04-17,39.872,63.384,79.35,0.389
2008-04-18,39.654,62.672,79.17,0.3845
2008-04-21,39.817,63.362,78.87,0.3855
2008-04-22,39.828,63.692,79.52,0.3873
2008-04-23,39.86,63.345,78.94,0.3857
2008-04-24,40.035,62.795,78.99,0.384
2008-04-25,40.065,62.627,79.541,0.3829
2008-04-28,40.031,62.66,79.7,0.3841
2008-04-29,40.3,62.742,79.3,0.3876
2008-04-30,40.386,63.103,80.27,0.3888
2008-05-02,40.485,62.473,79.804,0.3838
2008-05-05,40.52,62.806,79.946,0.3855
2008-05-06,40.673,63.192,80.26,0.3885
2008-05-07,41.316,63.557,80.67,0.3943
2008-05-08,41.7,64.207,81.53,0.4014
2008-05-09,41.412,64.133,80.91,0.4027
2008-05-12,41.831,65.001,81.84,0.4031
2008-05-13,41.974,64.939,81.69,0.4009
2008-05-14,42.365,65.525,82.46,0.4032
2008-05-15,42.369,65.487,82.51,0.4044
2008-05-16,42.366,66.069,82.89,0.4081
2008-05-19,42.351,65.761,82.56,0.4057
2008-05-20,42.611,66.706,83.85,0.4114
2008-05-21,42.62,67.264,84.02,0.4134
2008-05-22,43.078,67.76,85.3,0.4139
2008-05-23,42.61,67.254,84.487,0.4123
2008-05-26,42.545,67.128,84.299,0.4111
2008-05-27,42.811,67.162,84.59,0.4108
2008-05-28,42.772,66.967,84.73,0.4087
2008-05-29,42.676,66.224,84.32,0.4045
2008-05-30,42.531,66.138,84.31,0.4033
2008-06-02,42.19,65.594,82.94,0.4039
2008-06-03,42.242,65.239,82.89,0.4016
2008-06-04,42.512,65.587,83.06,0.4038
2008-06-05,42.793,66.706,83.78,0.404
2008-06-06,42.716,67.498,84.16,0.4076
2008-06-09,42.809,66.978,84.5,0.4027
2008-06-10,42.83,66.213,83.68,0.399
2008-06-11,42.593,66.271,83.64,0.3982
2008-06-12,42.749,66.111,83.23,0.3966
2008-06-13,42.831,65.921,83.38,0.3966
2008-06-16,42.814,66.254,84.1,0.3959
2008-06-17,42.712,66.302,83.61,0.3956
2008-06-18,42.842,66.569,83.91,0.3973
2008-06-19,42.854,66.454,84.52,0.3971
2008-06-20,42.8,66.894,84.573,0.3981
2008-06-23,42.895,66.58,84.28,0.3977
2008-06-24,42.848,66.704,84.42,0.3975
2008-06-25,42.689,66.905,84.29,0.396
2008-06-26,42.652,67.182,84.76,0.3988
2008-06-27,42.715,67.434,85.165,0.4019
2008-06-30,42.852,67.486,85.4,0.4038
2008-07-02,43.114,68.438,85.9,0.4068
2008-07-03,43.197,67.791,85.63,0.4046
2008-07-04,43.085,67.626,85.459,0.4029
2008-07-07,43.151,67.833,85.29,0.4028
2008-07-08,43.292,67.825,85.26,0.403
2008-07-09,43.073,67.778,85.37,0.403
2008-07-10,43.092,68.018,85.21,0.4025
2008-07-11,42.832,68.31,85.21,0.4032
2008-07-14,42.677,67.803,85.09,0.4017
2008-07-15,43.111,68.529,86.37,0.4114
2008-07-16,43.092,68.171,86.11,0.4096
2008-07-17,42.731,67.749,85.35,0.4021
2008-07-18,42.716,67.719,85.38,0.3994
2008-07-21,42.653,67.88,85.4,0.4005
2008-07-22,42.653,67.351,84.99,0.3977
2008-07-23,41.997,65.894,83.88,0.389
2008-07-24,41.996,65.869,83.44,0.3909
2008-07-25,42.278,66.26,84.12,0.392
2008-07-28,42.192,66.414,84.13,0.3927
2008-07-29,42.516,66.271,84.2,0.3932
2008-07-30,42.411,66.048,84.02,0.3922
2008-07-31,42.434,66.169,84.15,0.3936
2008-08-26,43.675,63.966,80.3,0.3984
2008-08-27,43.654,64.268,80.12,0.3985
2008-08-28,43.65,64.219,79.86,0.3988
2008-08-29,43.625,63.989,79.463,0.4006
2008-09-01,43.974,64.09,78.76,0.4071
2008-09-02,44.257,64.236,78.84,0.4071
2008-09-03,43.893,63.56,77.81,0.4051
2008-09-04,44.388,63.263,78.13,0.4156
2008-09-05,44.573,63.603,78.715,0.4133
2008-09-08,44.176,62.457,77.75,0.4083
