Date,Repo,Reverse_Repo,SDF,MSF,Bank_Rate,CRR,SLR,Event
2009-01-05,5.5,4.0,,,6.0,5.0,24.0,GFC stimulus continuation
2009-03-04,5.0,3.5,,,6.0,5.0,24.0,Repo cut to 5.00%
2009-04-21,4.75,3.25,,,6.0,5.0,24.0,Trough of post-crisis easing
2010-03-19,5.0,3.5,,,6.0,5.75,25.0,Post-crisis normalization starts
2010-04-20,5.25,3.75,,,6.0,6.0,25.0,Annual Policy tightening
2010-07-02,5.5,4.0,,,6.0,6.0,25.0,Rate hike
2010-07-27,5.75,4.5,,,6.0,6.0,25.0,First quarter review
2010-09-16,6.0,5.0,,,6.0,6.0,25.0,Mid-quarter review hike
2010-11-02,6.25,5.25,,,6.0,6.0,24.0,Rate hike
2011-01-25,6.5,5.5,,,6.0,6.0,24.0,Tightening cycle accelerates
2011-03-17,6.75,5.75,,,6.0,6.0,24.0,Rate hike
2011-05-03,7.25,6.25,,8.25,6.0,6.0,24.0,Introduction of MSF at 8.25%
2011-06-16,7.5,6.5,,8.5,6.0,6.0,24.0,Mid-quarter review
2011-07-26,8.0,7.0,,9.0,6.0,6.0,24.0,50 bps surprise hike
2011-09-16,8.25,7.25,,9.25,6.0,6.0,24.0,Inflation fighting
2011-10-25,8.5,7.5,,9.5,6.0,6.0,24.0,Peak of 2011 cycle
2012-01-28,8.5,7.5,,9.5,6.0,5.5,24.0,CRR cut to 5.50%
2012-03-09,8.5,7.5,,9.5,6.0,4.75,24.0,CRR cut to 4.75%
2012-04-17,8.0,7.0,,9.0,9.0,4.75,24.0,Bank rate aligned with MSF
2012-08-11,8.0,7.0,,9.0,9.0,4.75,23.0,SLR reduced to 23.00%
2012-09-17,8.0,7.0,,9.0,9.0,4.5,23.0,CRR cut to 4.50%
2012-11-03,8.0,7.0,,9.0,9.0,4.25,23.0,CRR cut to 4.25%
2013-01-29,7.75,6.75,,8.75,8.75,4.0,23.0,Repo cut to 7.75%
2013-03-19,7.5,6.5,,8.5,8.5,4.0,23.0,Mid-quarter cut
2013-05-03,7.25,6.25,,8.25,8.25,4.0,23.0,Annual policy cut
2013-07-15,7.25,6.25,,10.25,10.25,4.0,23.0,Taper Tantrum Rupee defense
2013-09-20,7.5,6.5,,9.5,9.5,4.0,23.0,Rajan policy transition
2013-10-29,7.75,6.75,,8.75,8.75,4.0,23.0,MSF normalization
2014-01-28,8.0,7.0,,9.0,9.0,4.0,23.0,CPI inflation targeting framework
2014-06-14,8.0,7.0,,9.0,9.0,4.0,22.5,SLR reduced to 22.50%
2014-08-09,8.0,7.0,,9.0,9.0,4.0,22.0,SLR reduced to 22.00%
2015-01-15,7.75,6.75,,8.75,8.75,4.0,22.0,Off-cycle 25 bps rate cut
2015-02-07,7.75,6.75,,8.75,8.75,4.0,21.5,SLR reduced to 21.50%
2015-03-04,7.5,6.5,,8.5,8.5,4.0,21.5,Post-budget off-cycle cut
2015-06-02,7.25,6.25,,8.25,8.25,4.0,21.5,Bi-monthly cut to 7.25%
2015-09-29,6.75,5.75,,7.75,7.75,4.0,21.5,50 bps surprise easing
2016-04-05,6.5,6.0,,7.0,7.0,4.0,21.25,Narrowing policy corridor
2016-10-04,6.25,5.75,,6.75,6.75,4.0,20.75,First MPC committee meeting
2017-08-02,6.0,5.75,,6.25,6.25,4.0,20.0,Repo cut to 6.00%
2018-06-06,6.25,6.0,,6.5,6.5,4.0,19.5,Rate hike to 6.25%
2018-08-01,6.5,6.25,,6.75,6.75,4.0,19.5,Rate hike to 6.50%
2019-02-07,6.25,6.0,,6.5,6.5,4.0,19.25,Das MPC easing starts
2019-04-04,6.0,5.75,,6.25,6.25,4.0,19.25,Repo cut to 6.00%
2019-06-06,5.75,5.5,,6.0,6.0,4.0,19.0,Stance changed to accommodative
2019-08-07,5.4,5.15,,5.65,5.65,4.0,18.75,Unconventional 35 bps cut
2019-10-04,5.15,4.9,,5.4,5.4,4.0,18.5,Repo cut to 5.15%
2020-03-27,4.4,4.0,,4.65,4.65,3.0,18.0,COVID-19 Emergency Package (75 bps cut)
2020-04-17,4.4,3.75,,4.65,4.65,3.0,18.0,Reverse repo cut to 3.75%
2020-05-22,4.0,3.35,,4.25,4.25,3.0,18.0,Historic low repo rate 4.00%
2021-03-27,4.0,3.35,,4.25,4.25,3.5,18.0,Stage 1 CRR restoration
2021-05-22,4.0,3.35,,4.25,4.25,4.0,18.0,CRR normalized to 4.00%
2022-04-08,4.0,3.35,3.75,4.25,4.25,4.0,18.0,Standing Deposit Facility (SDF) introduced
2022-05-04,4.4,3.35,4.15,4.65,4.65,4.5,18.0,Off-cycle post-Ukraine war rate hike
2022-06-08,4.9,3.35,4.65,5.15,5.15,4.5,18.0,50 bps hike
2022-08-05,5.4,3.35,5.15,5.65,5.65,4.5,18.0,50 bps hike
2022-09-30,5.9,3.35,5.65,6.15,6.15,4.5,18.0,50 bps hike
2022-12-07,6.25,3.35,6.0,6.5,6.5,4.5,18.0,35 bps hike
2023-02-08,6.5,3.35,6.25,6.75,6.75,4.5,18.0,Terminal rate 6.50% reached
2025-02-07,6.25,3.35,6.0,6.5,6.5,4.0,18.0,Disinflationary cycle cut to 6.25%
2025-04-09,6.0,3.35,5.75,6.25,6.25,3.5,18.0,Rate cut to 6.00%
2025-06-06,5.5,3.35,5.25,5.75,5.75,3.0,18.0,50 bps growth support cut
2025-12-05,5.25,3.35,5.0,5.5,5.5,3.0,18.0,Repo lowered to 5.25%
2026-08-05,5.25,3.35,5.0,5.5,5.5,3.0,18.0,MPC pause maintained at 5.25%
