Security Code,Tradingsymbol,Issuer Name
532335,AMBICAAGAR,AMBICA AGARBATHIES & AROMA IND
531978,AMBIKCO,AMBIKA COTTON MILLS
526439,AMBIT,AMBITIOUS PLASTOMAC COMPANY LT
543678,AMBOAGRI,AMBO AGRITEC
500425,AMBUJACEM,AMBUJA CEMENTS
530133,AMCOIND,AMCO INDIA
532828,AMDIND,AMD INDUSTRIES
544555,AMEENJI,AMEENJI RUBBER
531681,AMERISE,AMERISE BIOSCIENCES
513117,AMFORG,AMFORGE INDUSTRIES
541771,AMINTAN,AMIN TANNERY
531557,AMITSEC,AMIT SECURITIES
500343,AMJLAND,AMJ LAND HOLDINGS
506248,AMNPLST,AMINES & PLASTICIZERS
539598,AMPL,AMPL CAPITAL 
535719,AMPVOLTS,AMPVOLTS
531991,AMRAAGRI,AMRAWORLD AGRICO
539265,AMRAFIN,AMRAPALI FINCAP 
526241,AMRAPLIN,AMRAPALI INDUSTRIES
590006,AMRUTANJAN,AMRUTANJAN HEALTH CARE
540066,AMS,AMS POLYMERS
534612,AMTL,ADVANCE METERING TECHNOLOGY LT
543415,ANANDRATHI,ANAND RATHI WEALTH 
544579,ANANTAM,ANANTAM HIGHWAYS TRUST - INVIT
515055,ANANTRAJ,ANANT RAJ
502330,ANDHRAPAP,ANDHRA PAPER
500012,ANDHRAPET,ANDHRA PETROCHEMICALS
590062,ANDHRSUGAR,ANDHRA SUGARS
526173,ANDREWYU,ANDREW YULE & COMPANY
540694,ANG,ANG LIFESCIENCES INDIA 
541006,ANGEL,ANGEL FIBERS 
543235,ANGELONE,ANGEL ONE
519383,ANIKINDS,ANIK INDUSTRIES
530705,ANIRIT,ANIRIT VENTURES
890231,ANIRITPP,ANIRIT VENTURES
531223,ANJANI,ANJANI SYNTHETICS
531878,ANJANIFIN,ANJANI FINANCE
511153,ANJANIFOODS,ANJANI FOODS 
531673,ANKIN,ANKA INDIA
532870,ANKITMETAL,ANKIT METAL & POWER
544694,ANL,ACCRETION NUTRAVEDA 
542437,ANMOL,ANMOL INDIA 
530799,ANNAINFRA,ANNA INFRASTRUCTURES
544893,ANNU,ANNU PROJECTS 
500013,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT
523007,ANSALBU,ANSAL BUILDWELL
507828,ANSALHSG,ANSAL HOUSING
531406,ANSINDUS,ANS INDUSTRIES
501270,ANTARIKSH,ANTARIKSH INDUSTRIES
530075,ANTELOPUS,ANTELOPUS SELAN ENERGY 
544449,ANTHEM,ANTHEM BIOSCIENCES 
544800,ANUBHAV,ANUBHAV PLAST
506260,ANUHPHR,ANUH PHARMA
542460,ANUP,THE ANUP ENGINEERING
530109,ANUPAM,ANUPAM FINSERV
543275,ANURAS,ANUPAM RASAYAN INDIA 
542865,ANUROOP,ANUROOP PACKAGING 
538539,ANVRDHI,ANNVRRIDHHI VENTURES
543655,ANZEN,ANZEN INDIA ENERGY YIELD PLUS
532259,APARINDS,APAR INDUSTRIES
518091,APCL,ANJANI PORTLAND CEMENT
523694,APCOTEXIND,APCOTEX INDUSTRIES
540692,APEX,APEX FROZEN FOODS 
506166,APIS,APIS INDIA
544445,APL,ASSTON PHARMACEUTICALS
517096,APLAB,APLAB
890217,APLABPP,APLAB
533758,APLAPOLLO,APL APOLLO TUBES
533573,APLLTD,ALEMBIC PHARMACEUTICALS
523537,APMIN,APM INDUSTRIES
540879,APOLLO,APOLLO MICRO SYSTEMS 
512437,APOLLOFI,APOLLO FINVEST (INDIA)
508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LT
503639,APOLLOIN,APOLLO INGREDIENTS 
531761,APOLLOPIPE,APOLLO PIPES
500877,APOLLOTYRE,APOLLO TYRES
539545,APOORVA,APOORVA LEASING FINANCE & INVE
544529,APPL,APTUS PHARMA 
532475,APTECHT,APTECH
506979,APTPACK,APT PACKAGING
543335,APTUS,APTUS VALUE HOUSING FINANCE IN
530943,AQYLON,AQYLON NEXUS 
512344,ARAVALIS,ARAVALI SECURITIES & FINANCE L
520121,ARCEEIN,ARCEE INDUSTRIES
540135,ARCFIN,ARC FINANCE 
532994,ARCHIDPLY,ARCHIDPLY INDUSTRIES
532212,ARCHIES,ARCHIES
524640,ARCHITORG,ARCHIT ORGANOSYS
544860,ARDEE,ARDEE INDUSTRIES 
500008,ARE&M,AMARA RAJA ENERGY & MOBILITY L
526662,ARENTERP,RAJDARSHAN INDUSTRIES
526851,AREXMIS,AREX INDUSTRIES
539151,ARFIN,ARFIN INDIA 
532935,ARIES,ARIES AGRO
530267,ARIGATO,ARIGATO UNIVERSE
531381,ARIHANT,ARIHANT FOUNDATIONS & HOUSING
511605,ARIHANTCAP,ARIHANT CAPITAL MARKETS
506194,ARIHANTSUP,ARIHANT SUPERSTRUCTURES LIMITE
531017,ARISE,ARIHANTS SECURITIES
544683,ARITAS,ARITAS VINYL 
542721,ARL,ANAND RAYONS 
538556,ARMAN,ARMAN HOLDINGS
531179,ARMANFIN,ARMAN FINANCIAL SERVICES
537069,ARNOLD,ARNOLD HOLDINGS
513729,AROGRANITE,ARO GRANITE INDUSTRIES
516064,ARROWGREEN,ARROW GREENTECH 
506074,ARSHIYA,ARSHIYA
544530,ARSSBL,ANAND RATHI SHARE AND STOCK BR
531297,ARTEFACT,ARTEFACT PROJECTS
543286,ARTEMISADR,ARTEMIS ADR MARKETPLACE LIMITE
522134,ARTSON,ARTSON
500016,ARUNAHTEL,ARUNA HOTELS
524723,ARVAYA,ARVAYA HEALTHCARE 
500101,ARVIND,ARVIND
542484,ARVINDFASN,ARVIND FASHIONS 
539301,ARVSMART,ARVIND SMARTSPACES 
538716,ARYACAPM,ARYAMAN CAPITAL MARKETS LIMITE
530245,ARYAMAN,ARYAMAN FINANCIAL SERVICES
542176,ARYAN,ARYAN SHARE & STOCK BROKERS LT
515030,ASAHIINDIA,ASAHI INDIA GLASS
532853,ASAHISONG,ASAHI SONGWON COLORS
520119,ASAL,AUTOMOTIVE STAMPINGS & ASSEMBL
507526,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIE
543943,ASARFI,ASARFI HOSPITAL
543443,ASCENSIVE,ASCENSIVE EDUCARE 
512025,ASGARD,ASGARD ALCOBEV
519174,ASHAI,ASHIANA AGRO INDUSTRIES
527001,ASHAPURMIN,ASHAPURA MINECHEM
512247,ASHCAP,ASHIRWAD CAPITAL
523716,ASHIANA,ASHIANA HOUSING
543766,ASHIKAG,ASHIKA GLOBAL SECURITIES LIMIT
514286,ASHIMASYN,ASHIMA
530429,ASHISHPO,ASHISH POLYPLAST
541702,ASHNI,ASHNISHA INDUSTRIES 
507872,ASHNOOR,ASHNOOR TEXTILE MILLS
533271,ASHOKA,ASHOKA BUILDCON
540923,ASHOKAMET,ASHOKA METCAST 
500477,ASHOKLEY,ASHOK LEYLAND
526187,ASHRAM,ASHRAM ONLINE.COM
526847,ASHSI,ASHIRWAD STEELS & INDUSTRIES L
538777,ASIACAP,ASIA CAPITAL
543927,ASIAN,ASIAN WAREHOUSING 
530355,ASIANENE,ASIAN ENERGY SERVICES
500023,ASIANHOTNR,ASIAN HOTELS (NORTH)
500820,ASIANPAINT,ASIAN PAINTS
532888,ASIANTILES,ASIAN GRANITO INDIA
519532,ASIANTNE,ASIAN TEA & EXPORTS
530899,ASIAPAK,ASIA PACK
502015,ASIIL,ASI INDUSTRIES
524434,ASINPET,ASIAN PETROPRODUCTS & EXPORTS
530723,ASITCFIN,ASIT C.MEHTA FINANCIAL SERVICE
532694,ASMS,AVIO SMART MARKET STACK LIMITE
526433,ASMTEC,ASM TECHNOLOGIES
540788,ASPIRA,ASPIRA PATHLAB & DIAGNOSTICS L
541865,ASRL,ADD-SHOP E-RETAIL 
542911,ASSAMENT,ASSAM ENTRADE 
531168,ASSOCER,ASSOCIATED CERAMICS
512600,ASTALLTD,ASTAL LABORATORIES
531847,ASTAR,ASIAN STAR CO.LTD.
533138,ASTEC,ASTEC LIFESCIENCES
540975,ASTERDM,ASTER DM QUALITY CARE
532830,ASTRAL,ASTRAL
532493,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS
506820,ASTRAZEN,ASTRAZENECA PHARMA INDIA
540824,ASTRON,ASTRON PAPER & BOARD MILL LIMI
544628,ASTRONMULT,ASTRON MULTIGRAIN 
543911,ATALREAL,ATAL REALTECH 
543236,ATAM,ATAM VALVES 
542066,ATGL,ADANI TOTAL GAS
544812,ATHARVA,ATHARVA POLY-PLAST 
530187,ATHARVENT,ATHARV ENTERPRISES
539099,ATHCON,ATHENA CONSTRUCTIONS 
517429,ATHENAGLO,ATHENA GLOBAL TECHNOLOGIES LIM
544671,ATIL,APOLLO TECHNO INDUSTRIES LIMIT
538713,ATISHAY,ATISHAY 
543954,ATL,ALLCARGO TERMINALS 
532759,ATLANTAA,ATLANTAA
544527,ATLANTAELE,ATLANTA ELECTRICALS 
505029,ATLASCYCLE,ATLAS CYCLES (HARYANA)
890228,ATLPP,ALLCARGO TERMINALS 
500027,ATUL,ATUL
531795,ATULAUTO,ATUL AUTO
532090,ATVOENT,ATVO ENTERPRISES 
500028,ATVPR,ATV PROJECTS INDIA
540611,AUBANK,AU SMALL FINANCE BANK 
530889,AUDROC,AUDROC 
544888,AUGMONT,AUGMONT ENTERPRISES 
544772,AUREATE,AUREATE TRADDE
532668,AURIONPRO,AURIONPRO SOLUTIONS
517230,AURIQUE,AURIQUE
530233,AUROLAB,AURO LABORATORIES
524804,AUROPHARMA,AUROBINDO PHARMA
539289,AURUM,AURUM PROPTECH
534532,AURUS,AURUS GEM CORPORATION
509009,AUSOMENT,AUSOM ENTERPRISE
522005,AUSTENG,AUSTIN ENGINEERING CO.LTD.
544505,AUSTERE,AUSTERE SYSTEMS
505010,AUTOAXLES,AUTOMOTIVE AXLES
532797,AUTOIND,AUTOLINE INDUSTRIES
512277,AUTOINT,AUTORIDERS INTERNATIONAL
531994,AUTOPINS,AUTO PINS (INDIA)
540649,AVADHSUGAR,AVADH SUGAR & ENERGY
531310,AVAILFC,AVAILABLE FINANCE
543896,AVALON,AVALON TECHNOLOGIES 
512149,AVANCE,AVANCE TECHNOLOGIES
532406,AVANTEL,AVANTEL
512573,AVANTIFEED,AVANTI FEEDS
543737,AVEER,AVEER FOODS 
543910,AVG,AVG LOGISTICS 
512109,AVIVA,AVIVA INDUSTRIES
540205,AVL,ADITYA VISION 
511589,AVONMORE,AVONMORE CAPITAL & MANAGEMENT
543512,AVROIND,AVRO INDIA 
519105,AVTNPL,AVT NATURAL PRODUCTS
543254,AWHCL,ANTONY WASTE HANDLING CELL LIM
543458,AWL,AWL AGRI BUSINESS
513642,AXELPOLY,AXEL POLYMERS
532215,AXISBANK,AXIS BANK
532395,AXISCADES,AXISCADES TECHNOLOGIES
511144,AXISOL,AXIS SOLUTIONS
542285,AXITA,AXITA COTTON 
523850,AXTEL,AXTEL INDUSTRIES
544699,AYE,AYE FINANCE 
508933,AYMSYNTEX,AYM SYNTEX 
504731,AZADIND,AZAD INDIA MOBILITY
531268,B2BSOFT,B2B SOFTWARE TECHNOLOGIES
532380,BABA,BABA ARTS
524516,BACPHAR,BACIL PHARMA
532989,BAFNAPH,BAFNA PHARMACEUTICALS
532507,BAGFILMS,B.A.G.FILMS & MEDIA
544758,BAGMANE,BAGMANE PRIME OFFICE REIT
511724,BAIDFIN,BAID FINSERV
544670,BAIKAKAJI,BAI-KAKAJI POLYMERS
532977,BAJAJ-AUTO,BAJAJ AUTO
533229,BAJAJCON,BAJAJ CONSUMER CARE
500031,BAJAJELEC,BAJAJ ELECTRICALS
532978,BAJAJFINSV,BAJAJ FINSERV
539872,BAJAJHCARE,BAJAJ HEALTHCARE 
500032,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR
500490,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LT
507944,BAJAJST,BAJAJ STEEL INDUSTRIES
500034,BAJFINANCE,BAJAJ FINANCE
532382,BALAJITELE,BALAJI TELEFILMS
530999,BALAMINES,BALAJI AMINES
539834,BALGOPAL,BALGOPAL COMMERCIAL 
539251,BALKRISHNA,BALKRISHNA PAPER MILLS
502355,BALKRISIND,BALKRISHNA INDUSTRIES
523319,BALMLAWRIE,BALMER LAWRIE AND COMPANY LIMI
524824,BALPHARMA,BAL PHARMA
500038,BALRAMCHIN,BALRAMPUR CHINI MILLS
520127,BALTE,BALURGHAT TECHNOLOGIES
531112,BALUFORGE,BALU FORGE INDUSTRIES
519295,BAMBINO,BAMBINO AGRO INDUSTRIES
531591,BAMPSL,BAMPSL SECURITIES
526849,BANARBEADS,BANARAS BEADS
500041,BANARISUG,BANNARI AMMAN SUGARS
509053,BANASFN,BANAS FINANCE
500039,BANCOINDIA,BANCO PRODUCTS (INDIA)
524602,BANDARAM,BANDARAM PHARMA PACKTECH LIMIT
541153,BANDHANBNK,BANDHAN BANK 
532946,BANG,BANG OVERSEAS
532134,BANKBARODA,BANK OF BARODA
590106,BANKBEES,NIPPON INDIA NIFTY BANK BEES ETF
532149,BANKINDIA,BANK OF INDIA
503722,BANSWRAS,BANSWARA SYNTEX
523186,BAPACK,B&A PACKAGING INDIA
500270,BARODARY,BARODA RAYON CORPORATION
513502,BAROEXT,BARODA EXTRUSION
524687,BASANTGL,BASANT AGRO TECH (INDIA)
500042,BASF,BASF INDIA
532674,BASML,BANNARI AMMAN SPINNING MILLS L
500043,BATAINDIA,BATA INDIA
522004,BATLIBOI,BATLIBOI
506285,BAYERCROP,BAYER CROPSCIENCE
539946,BAZELINTER,BAZEL INTERNATIONAL 
503960,BBL,BHARAT BIJLEE
500463,BBOX,BLACK BOX
501425,BBTC,THE BOMBAY BURMAH TRADING CORP
543668,BBTCL,B&B TRIPLEWALL CONTAINERS LIMI
517246,BCCFUBA,BCC FUBA INDIA
543497,BCCL,BHATIA COLOUR CHEM 
532368,BCG,BRIGHTCOM GROUP
539621,BCLENTERPR,BCL ENTERPRISES 
524332,BCLIND,BCL INDUSTRIES
543442,BCONCEPTS,BRAND CONCEPTS 
537766,BCP,B.C. POWER CONTROLS
542057,BCPL,BCPL RAILWAY INFRASTRUCTURE LI
524828,BDH,BDH INDUSTRIES
544468,BDI,B. D. INDUSTRIES (PUNE) LIMITE
541143,BDL,BHARAT DYNAMICS 
543253,BECTORFOOD,MRS. BECTORS FOOD SPECIALITIES
533270,BEDMUTHA,BEDMUTHA INDUSTRIES
539018,BEEKAY,BEEKAY STEEL INDUSTRIES
532645,BEEYU,BEEYU OVERSEAS
511585,BEFOUNDMOL,BEFOUND MOVEMENT
500049,BEL,BHARAT ELECTRONICS
513307,BELDING,BELDING INDIA
539399,BELLACASA,BELLA CASA FASHION & RETAIL LI
522650,BEMHY,BEMCO HYDRAULICS
500048,BEML,BEML
541178,BENARA,BENARA BEARINGS AND PISTONS LI
509438,BENARAS,BENARES HOTELS
533095,BENGALASM,BENGAL & ASSAM COMPANY
532230,BENGALT,BENGAL TEA & FABRICS
512195,BENTCOM,BENTLEY COMMERCIAL ENTERPRISES
500052,BEPL,BHANSALI ENGINEERING POLYMERS
509480,BERGEPAINT,BERGER PAINTS INDIA
524606,BERLDRG,BERYL DRUGS
531340,BERVINL,BERVIN INVESTMENT & LEASING LT
531582,BERYLSE,BERYL SECURITIES
539660,BESTAGRO,BEST AGROLIFE
508664,BESTEAST,BEST EASTERN HOTELS
531530,BETALA,BETALA GLOBAL SECURITIES
512477,BETXIND,BETEX INDIA
533303,BFINVEST,BF INVESTMENT
539662,BFLAFL,BFL ASSET FINVEST 
532430,BFUTILITIE,BF UTILITIES
521238,BGDL,BHARAT GLOBAL DEVELOPERS LIMIT
511664,BGIL,BGIL FILMS & TECHNOLOGIES
532930,BGRENERGY,BGR ENERGY SYSTEMS
504646,BGWTATO,BHAGWATI AUTOCAST
531719,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTR
530803,BHAGERIA,BHAGERIA INDUSTRIES 
500051,BHAGGAS,BHAGAWATI GAS
509449,BHAGWOX,BHAGWATI OXYGEN
512296,BHAGYANGR,BHAGYANAGAR INDIA
512608,BHANDARI,BHANDARI HOSIERY EXPORTS
538576,BHANDERI,BHANDERI INFRACON
511501,BHARAT,BHARAT BHUSHAN FINANCE & COMMO
531862,BHARATAGRI,BHARAT AGRI FERT & REALTY
544678,BHARATCOAL,BHARAT COKING COAL
500493,BHARATFORG,BHARAT FORGE
505688,BHARATGEAR,BHARAT GEARS
590021,BHARATRAS,BHARAT RASAYAN
544535,BHARATROHAN,BHARATROHAN AIRBORNE INNOVATIO
523229,BHARATSE,BHARAT SEATS
539799,BHARATWIRE,BHARAT WIRE ROPES 
532454,BHARTIARTL,BHARTI AIRTEL
524534,BHASKAGR,BHASKAR AGROCHEMICALS
540956,BHATIA,BHATIA COMMUNICATIONS & RETAIL
544551,BHAVIK,BHAVIK ENTERPRISES
500103,BHEL,BHARAT HEAVY ELECTRICALS
514272,BHILSPIN,BHILWARA SPINNERS
526488,BHUDEVI,BHUDEVI INFRA PROJECTS
526853,BI,BILCARE
524663,BIBCL,BHARAT IMMUNOLOGICALS & BIOLOG
