date,symbol,company,price,event,sector,face_value
2023-08-15,STUDDS,Studds Accessories Ltd,820.0,Secondary Market Quote,Auto Components / Helmets,5.0
2024-05-20,STUDDS,Studds Accessories Ltd,880.0,Secondary Market Quote,Auto Components / Helmets,5.0
2026-09-18,STUDDS,Studds Accessories Ltd,960.0,Current Indicative Market Quote,Auto Components / Helmets,5.0
2020-04-06,SWIGGY,Swiggy Ltd (Bundl Technologies),180.0,Series I Funding Valuation,Quick Commerce & Food Delivery,1.0
2021-07-20,SWIGGY,Swiggy Ltd (Bundl Technologies),310.0,SoftBank Invesco Round ($5.5B),Quick Commerce & Food Delivery,1.0
2022-01-24,SWIGGY,Swiggy Ltd (Bundl Technologies),460.0,Invesco Valuation Peak ($10.7B),Quick Commerce & Food Delivery,1.0
2023-05-15,SWIGGY,Swiggy Ltd (Bundl Technologies),280.0,Global Tech Multiples Compression,Quick Commerce & Food Delivery,1.0
2024-03-20,SWIGGY,Swiggy Ltd (Bundl Technologies),350.0,Pre-IPO Secondary Round,Quick Commerce & Food Delivery,1.0
2024-10-15,SWIGGY,Swiggy Ltd (Bundl Technologies),390.0,Pre-Listing Anchor Allotment Benchmark,Quick Commerce & Food Delivery,1.0
2019-02-10,TATA_CAPITAL,Tata Capital Ltd,95.0,Secondary Dealer Quote,Financial Services / NBFC,10.0
2020-01-15,TATA_CAPITAL,Tata Capital Ltd,115.0,Secondary Market Quote,Financial Services / NBFC,10.0
2021-04-20,TATA_CAPITAL,Tata Capital Ltd,180.0,Secondary Market Quote,Financial Services / NBFC,10.0
2022-10-15,TATA_CAPITAL,Tata Capital Ltd,380.0,Secondary Market Quote,Financial Services / NBFC,10.0
2023-08-22,TATA_CAPITAL,Tata Capital Ltd,540.0,Tata Sons Internal Valuation,Financial Services / NBFC,10.0
2024-06-12,TATA_CAPITAL,Tata Capital Ltd,875.0,Mandatory IPO Preparation Surge,Financial Services / NBFC,10.0
2026-09-18,TATA_CAPITAL,Tata Capital Ltd,960.0,Current Indicative Market Quote,Financial Services / NBFC,10.0
2020-09-15,TATA_TECH,Tata Technologies Ltd,110.0,Secondary Market Quote,ER&D Services / IT,2.0
2021-06-20,TATA_TECH,Tata Technologies Ltd,220.0,Secondary Market Quote,ER&D Services / IT,2.0
2022-03-15,TATA_TECH,Tata Technologies Ltd,480.0,IPO Exploration Rumours,ER&D Services / IT,2.0
2022-12-10,TATA_TECH,Tata Technologies Ltd,620.0,Secondary Dealer Quote,ER&D Services / IT,2.0
2023-04-18,TATA_TECH,Tata Technologies Ltd,850.0,DRHP Filing Frenzy,ER&D Services / IT,2.0
2023-10-15,TATA_TECH,Tata Technologies Ltd,1050.0,Pre-IPO Gray Market Benchmark (Pre-Nov 2023 Listing),ER&D Services / IT,2.0
2021-10-15,WAAREE_ENER,Waaree Energies Ltd,220.0,Private Placement / Unlisted Trading,Solar Energy & CleanTech,10.0
2022-09-10,WAAREE_ENER,Waaree Energies Ltd,650.0,Solar Order Book Surge,Solar Energy & CleanTech,10.0
2023-08-20,WAAREE_ENER,Waaree Energies Ltd,1200.0,Strategic Pre-IPO Funding ($120M),Solar Energy & CleanTech,10.0
2024-05-15,WAAREE_ENER,Waaree Energies Ltd,1900.0,DRHP Filing Rally,Solar Energy & CleanTech,10.0
2024-09-30,WAAREE_ENER,Waaree Energies Ltd,2450.0,Pre-IPO Gray Market Benchmark (Pre-Oct 2024 Listing),Solar Energy & CleanTech,10.0
2022-05-02,ZEPTO,KiranaKart Technologies (Zepto),420.0,Series D ($200M @ $900M valuation),Quick Commerce,1.0
2023-08-25,ZEPTO,KiranaKart Technologies (Zepto),650.0,Series E Unicorn Round ($1.4B valuation),Quick Commerce,1.0
2024-06-21,ZEPTO,KiranaKart Technologies (Zepto),1150.0,Series F Round ($665M @ $3.6B valuation),Quick Commerce,1.0
2024-08-30,ZEPTO,KiranaKart Technologies (Zepto),1550.0,Top-up Round ($340M @ $5.0B valuation),Quick Commerce,1.0
2026-09-18,ZEPTO,KiranaKart Technologies (Zepto),1820.0,Current Indicative Market Quote,Quick Commerce,1.0
