Date,FII_Buy_Cr,FII_Sell_Cr,FII_Net_Cr,DII_Buy_Cr,DII_Sell_Cr,DII_Net_Cr,Total_Net_Cr
2026-06-04,14012.52,18459.58,-4447.06,16824.35,12464.21,4360.14,-86.92
2026-06-05,11044.57,19820.82,-8776.25,22779.32,13645.75,9133.57,357.32
2026-06-08,8842.08,14397.75,-5555.67,16683.18,11517.94,5165.24,-390.43
2026-06-09,14735.47,19301.5,-4566.03,17664.98,11505.5,6159.48,1593.45
2026-06-10,14047.79,16172.77,-2124.98,17396.4,14272.45,3123.95,998.97
2026-06-11,14000.58,15987.67,-1987.09,16822.57,12598.06,4224.51,2237.42
2026-06-12,12064.61,13146.79,-1082.18,18877.03,13535.74,5341.29,4259.11
2026-06-15,15650.2,15450.15,200.05,21080.9,17891.64,3189.26,3389.31
2026-06-16,13887.15,14636.33,-749.18,13553.36,13553.3,0.06,-749.12
2026-06-17,14806.3,14704.71,101.59,16611.87,15050.47,1561.4,1662.99
2026-06-18,14611.83,15637.03,-1025.2,16163.18,12646.37,3516.81,2491.61
2026-06-19,31442.87,26583.8,4859.07,18020.49,19180.13,-1159.64,3699.43
2026-06-22,10082.08,10717.99,-635.91,17391.78,16356.06,1035.72,399.81
2026-06-23,15396.07,15378.21,17.86,16863.04,16182.83,680.21,698.07
2026-06-24,16744.73,18588.13,-1843.4,17274.01,13636.75,3637.26,1793.86
2026-06-25,18988.03,18604.27,383.76,24844.03,19096.28,5747.75,6131.51
2026-06-29,24754.26,26104.36,-1350.1,55273.85,52472.4,2801.45,1451.35
2026-06-30,23273.71,25830.46,-2556.75,23432.58,16590.24,6842.34,4285.59
2026-07-01,11623.31,12763.81,-1140.5,17136.57,13977.33,3159.24,2018.74
2026-07-02,14018.4,14330.22,-311.82,17391.61,15607.21,1784.4,1472.58
2026-07-03,13337.33,11982.0,1355.33,18676.35,20630.24,-1953.89,-598.56
2026-07-06,11686.1,11443.07,243.03,19727.56,15936.14,3791.42,4034.45
2026-07-07,18414.01,18020.82,393.19,18897.44,19280.87,-383.43,9.76
2026-07-08,17463.95,15501.15,1962.8,19165.13,18374.97,790.16,2752.96
2026-07-09,14388.41,14921.27,-532.86,18302.87,16245.08,2057.79,1524.93
2026-07-10,15318.07,12714.35,2603.72,17171.75,15152.07,2019.68,4623.4
2026-07-13,10386.48,13448.75,-3062.27,17393.46,15221.76,2171.7,-890.57
2026-07-14,12763.43,13503.12,-739.69,20420.87,17493.16,2927.71,2188.02
2026-07-15,13207.46,13943.29,-735.83,16226.42,15521.49,704.93,-30.9
2026-07-16,13576.08,17781.64,-4205.56,19236.8,16250.39,2986.41,-1219.15
2026-07-17,14393.77,14770.18,-376.41,17180.08,16162.19,1017.89,641.48
2026-07-20,13312.67,14433.71,-1121.04,16187.84,14875.81,1312.03,190.99
2026-07-21,16327.88,14677.72,1650.16,14638.54,15295.42,-656.88,993.28
2026-07-22,12889.82,13709.02,-819.2,13665.69,14083.95,-418.26,-1237.46
2026-07-23,11472.08,14471.31,-2999.23,16575.3,13628.16,2947.14,-52.09
2026-07-24,11123.86,15016.63,-3892.77,18959.43,13505.88,5453.55,1560.78
2026-07-27,11695.95,13384.18,-1688.23,15937.1,13607.96,2329.14,640.91
2026-07-28,17530.97,16775.64,755.33,18256.88,16592.72,1664.16,2419.49
2026-07-29,17358.31,14376.44,2981.87,18176.22,17178.2,998.02,3979.89
2026-07-30,17431.96,13808.45,3623.51,17979.63,19843.66,-1864.03,1759.48
2026-07-31,19045.51,18768.03,277.48,19885.8,17625.43,2260.37,2537.85
2026-08-03,12621.89,11699.63,922.26,18325.97,16754.79,1571.18,2493.44
2026-08-04,15630.45,13183.98,2446.47,15241.39,16177.53,-936.14,1510.33
2026-08-05,15940.5,16883.92,-943.42,19353.43,16470.26,2883.17,1939.75
2026-08-06,16161.35,16179.21,-17.86,19723.68,15710.08,4013.6,3995.74
2026-08-07,12941.31,12461.07,480.24,15679.58,15444.02,235.56,715.8
2026-08-10,13161.56,11186.8,1974.76,15868.51,17158.8,-1290.29,684.47
2026-08-11,14628.47,14369.92,258.55,15006.72,14981.95,24.77,283.32
2026-08-12,16584.64,17587.14,-1002.5,21518.55,15676.89,5841.66,4839.16
2026-08-13,14492.46,15003.15,-510.69,16565.14,12212.05,4353.09,3842.4
2026-08-14,12854.44,12346.32,508.12,14295.49,13939.09,356.4,864.52
2026-08-17,11546.16,14081.26,-2535.1,16654.08,11552.62,5101.46,2566.36
2026-08-18,13543.3,11891.77,1651.53,15566.07,12986.76,2579.31,4230.84
2026-08-19,12875.76,12467.77,407.99,17288.58,13314.86,3973.72,4381.71
2026-08-20,11411.73,11995.09,-583.36,16932.72,13395.01,3537.71,2954.35
2026-08-21,12560.91,13103.62,-542.71,15258.71,13134.57,2124.14,1581.43
2026-08-24,12332.64,11150.98,1181.66,15337.18,12843.77,2493.41,3675.07
2026-08-25,13259.03,11665.5,1593.53,14280.18,14049.92,230.26,1823.79
2026-08-26,17520.49,17017.86,502.63,17710.07,11284.91,6425.16,6927.79
2026-08-27,15276.94,15575.2,-298.26,19605.6,14628.43,4977.17,4678.91
2026-08-28,13263.62,18303.42,-5039.8,16539.38,11355.45,5183.93,144.13
2026-08-31,60025.88,68011.76,-7985.88,19730.38,15141.5,4588.88,-3397.0
2026-09-01,17807.53,16664.15,1143.38,15635.49,13788.55,1846.94,2990.32
2026-09-02,26715.88,20027.51,6688.37,17639.89,14826.91,2812.98,9501.35
2026-09-03,13596.04,15941.91,-2345.87,17063.65,12086.19,4977.46,2631.59
2026-09-04,13857.58,16969.52,-3111.94,19254.19,10324.07,8930.12,5818.18
2026-09-07,9581.19,9301.06,280.13,13154.13,12587.37,566.76,846.89
2026-09-08,11704.84,11828.03,-123.19,14678.53,13328.89,1349.64,1226.45
2026-09-09,16392.9,16975.89,-582.99,18130.76,16621.72,1509.04,926.05
2026-09-10,11882.95,12321.19,-438.24,13326.33,12300.48,1025.85,587.61
2026-09-11,12616.89,13547.79,-930.9,15109.58,13141.41,1968.17,1037.27
2026-09-15,13194.76,16172.62,-2977.86,15221.98,12535.93,2686.05,-291.81
2026-09-16,12959.04,14991.65,-2032.61,15279.59,11371.36,3908.23,1875.62
2026-09-17,8761.71,11970.47,-3208.76,14105.01,10487.26,3617.75,408.99
2026-09-18,38461.63,37862.09,599.54,17310.04,16290.35,1019.69,1619.23
2026-09-21,10637.17,11213.37,-576.2,14098.64,11301.37,2797.27,2221.07
2026-09-22,9845.81,13655.8,-3809.99,14599.72,10479.65,4120.07,310.08
2026-09-23,13580.4,11962.95,1617.45,14404.9,12063.44,2341.46,3958.91
