Date,Client_Index_Futures_Long,Client_Index_Futures_Short,Client_Index_Futures_Net,Client_Stock_Futures_Long,Client_Stock_Futures_Short,Client_Stock_Futures_Net,Client_Index_Call_Long,Client_Index_Call_Short,Client_Index_Put_Long,Client_Index_Put_Short,DII_Index_Futures_Long,DII_Index_Futures_Short,DII_Index_Futures_Net,DII_Stock_Futures_Long,DII_Stock_Futures_Short,DII_Stock_Futures_Net,DII_Index_Call_Long,DII_Index_Call_Short,DII_Index_Put_Long,DII_Index_Put_Short,FII_Index_Futures_Long,FII_Index_Futures_Short,FII_Index_Futures_Net,FII_Stock_Futures_Long,FII_Stock_Futures_Short,FII_Stock_Futures_Net,FII_Index_Call_Long,FII_Index_Call_Short,FII_Index_Put_Long,FII_Index_Put_Short,Pro_Index_Futures_Long,Pro_Index_Futures_Short,Pro_Index_Futures_Net,Pro_Stock_Futures_Long,Pro_Stock_Futures_Short,Pro_Stock_Futures_Net,Pro_Index_Call_Long,Pro_Index_Call_Short,Pro_Index_Put_Long,Pro_Index_Put_Short,Total_Index_Futures_OI,FII_Long_Ratio_Pct
2024-03-06,433179,383111,50068,1933750,209627,1724123,3062689,3272997,3882540,3979801,60931,85754,-24823,94335,2237484,-2143149,0,0,42271,0,89321,135662,-46341,1623319,1551499,71820,773211,713432,968749,841586,73233,52137,21096,512998,165792,347206,1407937,1257408,1473556,1545729,656664,39.7
2024-03-07,437381,376749,60632,1912331,222067,1690264,3219222,3303127,3178931,3422805,58204,86318,-28114,106838,2234024,-2127186,0,0,42317,0,86929,120724,-33795,1630524,1521265,109259,854756,761215,930592,804964,55776,54499,1277,504509,176846,327663,1303318,1312954,1395570,1319641,638290,41.86
2024-03-11,454109,390108,64001,1917279,230688,1686591,5537802,5329866,3739946,4086889,61295,78218,-16923,107332,2244713,-2137381,0,0,42338,0,83947,118922,-34975,1632405,1509662,122743,1128240,1126807,1114810,1044038,54344,66447,-12103,522367,194320,328047,1881933,2091302,1775194,1541361,653695,41.38
2024-03-12,462959,396393,66566,1897407,228946,1668461,5013872,5029231,3752663,4047373,60372,80668,-20296,110913,2263001,-2152088,0,0,42338,0,91508,121829,-30321,1633318,1477245,156073,1035394,1010161,932561,885706,66937,82886,-15949,529092,201538,327554,1940443,1950317,1716975,1511458,681776,42.89
2024-03-13,472277,395173,77104,1849439,237615,1611824,4910244,4700880,2772249,3143261,60158,71285,-11127,113951,2277047,-2163096,0,0,46354,0,89080,132900,-43820,1665304,1452096,213208,1049042,1020094,1049017,923738,65010,87167,-22157,545232,207168,338064,1694718,1933030,1553909,1354530,686525,40.13
2024-03-14,478702,409596,69106,1855315,234066,1621249,3292243,3313406,2652278,2998809,60637,71233,-10596,114721,2299370,-2184649,0,0,48854,0,93279,144270,-50991,1656918,1420717,236201,724639,646568,809521,629874,76507,84026,-7519,539105,211906,327199,1428373,1485281,1457598,1339568,709125,39.27
2024-03-15,487779,408065,79714,1865837,237315,1628522,4626679,4562671,3407471,3731841,61436,71229,-9793,119267,2290209,-2170942,0,0,48854,0,86574,143964,-57390,1665113,1446996,218117,1101433,1052397,1086112,977220,75978,88509,-12531,549639,225336,324303,1642412,1755456,1650681,1484057,711767,37.55
2024-03-18,496654,406287,90367,1892310,252674,1639636,5070579,5047947,4077326,4277616,61686,75650,-13964,118961,2295130,-2176169,0,0,48838,0,86715,148030,-61315,1664086,1454674,209412,1094153,1066918,1017641,964634,77610,92698,-15088,553208,226087,327121,1766385,1816252,1657394,1558949,722665,36.94
2024-03-19,503765,403548,100217,1893467,259160,1634307,6138616,5776088,3809942,4078803,62466,60062,2404,119000,2316732,-2197732,0,0,48900,0,79616,164975,-85359,1673726,1452229,221497,1201181,1276106,1127099,1128757,74648,91910,-17262,579222,237294,341928,1851708,2139311,1687913,1466294,720495,32.55
2024-03-20,509887,397373,112514,1893637,269178,1624459,4001122,4011454,2902353,3183951,62466,65021,-2555,119545,2330338,-2210793,0,0,48922,0,79298,174522,-95224,1701839,1456519,245320,814670,782561,878277,766982,74621,89356,-14735,592876,251862,341014,1471169,1492946,1438067,1316686,726272,31.24
2024-03-21,508086,395388,112698,1888860,253054,1635806,3270058,3303289,3102555,3366739,62425,64965,-2540,121640,2350203,-2228563,0,0,49285,0,86956,176305,-89349,1727153,1441244,285909,770625,695312,896347,761277,77049,97858,-20809,573965,267117,306848,1455592,1497674,1530400,1450571,734516,33.03
2024-03-22,489481,399386,90095,1874808,259148,1615660,3628654,3771454,4146407,4303109,62385,60417,1968,123630,2365672,-2242042,0,0,48664,0,81266,153645,-72379,1734742,1375459,359283,886921,866446,997496,912792,70871,90555,-19684,530740,263641,267099,1532786,1410461,1646625,1623291,704003,34.59
2024-03-26,489979,397885,92094,1894261,273703,1620558,4817340,4737728,4374752,4529951,62281,53458,8823,124589,2387624,-2263035,0,0,45164,0,73285,148689,-75404,1773084,1403876,369208,1054363,1064756,1129772,1061480,76829,102342,-25513,538728,265459,273269,1740701,1809920,1780018,1738275,702374,33.02
2024-03-27,460164,375214,84950,1878616,263293,1615323,3283376,3405386,3493863,3765213,61953,54458,7495,129153,2360958,-2231805,0,0,53441,0,76268,167064,-90796,1800839,1461412,339427,892340,825876,1094201,895797,73431,75080,-1649,531879,254824,277055,1523693,1468147,1557184,1537679,671816,31.34
2024-03-28,401841,355441,46400,1742313,235986,1506327,2524162,2547821,2563871,2734828,37462,46724,-9262,77279,2311005,-2233726,0,0,45128,0,103470,127321,-23851,1764420,1316602,447818,682440,645232,794298,700934,57519,70806,-13287,432621,153040,279581,1292606,1306155,1310137,1277672,600292,44.83
2024-04-01,218144,181727,36417,1719269,194708,1524561,3850989,3870052,4125164,4182838,37587,46724,-9137,80445,2326411,-2245966,0,0,44992,0,108819,130406,-21587,1782859,1321071,461788,862938,872205,911432,882470,32359,38052,-5693,427517,167900,259617,1609501,1581171,1659323,1675603,396909,45.49
2024-04-02,222339,184011,38328,1766379,199761,1566618,4631478,4462774,4321542,4361257,36906,47400,-10494,73510,2340538,-2267028,0,0,44992,0,114069,129496,-15427,1779943,1344491,435452,977690,1076101,989980,969385,30387,42794,-12407,445725,180767,264958,1712188,1782481,1700180,1726052,403701,46.83
2024-04-03,227601,187127,40474,1833540,196589,1636951,3561068,3553464,3256263,3500460,36891,47400,-10509,79732,2339109,-2259377,0,0,44014,0,111937,143694,-31757,1718820,1406966,311854,643033,625145,774806,611256,36646,34854,1792,483358,172786,310572,1187578,1213070,1228976,1192343,413075,43.79
2024-04-04,204427,172105,32322,1873103,197597,1675506,2516533,2646519,2721427,3015477,37069,47057,-9988,84529,2316130,-2231601,0,0,44649,0,102662,136290,-33628,1682950,1448541,234409,531825,452361,675154,500636,46865,35571,11294,503013,181327,321686,1048020,997498,1102820,1027937,391023,42.96
2024-04-05,217366,188693,28673,1889090,206993,1682097,3776045,4335202,4663579,4918781,37069,47490,-10421,88035,2281024,-2192989,0,0,46037,0,102506,137696,-35190,1664391,1493080,171311,941307,797052,1234691,995918,52495,35557,16938,521122,181541,339581,1630416,1215514,1624733,1654341,409436,42.67
2024-04-08,222675,200613,22062,1890446,200244,1690202,4162661,4299932,5450708,5399570,37991,50990,-12999,85371,2285405,-2200034,0,0,46037,0,112855,136491,-23636,1654562,1475978,178584,1040061,968513,1237367,1155916,51164,36591,14573,524647,193399,331248,1609011,1543288,1717286,1895912,424685,45.26
2024-04-09,226596,222375,4221,1907477,207333,1700144,4584812,4696946,5167049,5283868,37089,53234,-16145,85216,2289145,-2203929,24,0,46051,0,133230,129207,4023,1663791,1471570,192221,1173761,934312,1411672,1167826,49295,41394,7901,518852,207288,311564,1575592,1702931,1586264,1759342,446210,50.77
2024-04-10,217475,233563,-16088,1874985,219834,1655151,2199113,2429688,2660327,2915283,36919,56340,-19421,86010,2275792,-2189782,0,0,51047,0,174756,123474,51282,1684471,1445169,239302,520337,378248,668388,482898,34342,50115,-15773,512297,216968,295329,987004,898518,1066429,1048010,463492,58.6
2024-04-12,224162,220348,3814,1945216,211834,1733382,4603622,4572489,3246367,3678976,36919,53540,-16621,86394,2313813,-2227419,0,0,50447,0,158405,124957,33448,1643995,1493222,150773,885513,843926,945747,786727,28290,48931,-20641,564228,220964,343264,1394318,1467038,1381953,1158811,447776,55.9
2024-04-15,252885,208784,44101,1963335,214452,1748883,6258020,5754432,3616332,3856819,35086,53870,-18784,85779,2338917,-2253138,0,0,47559,0,138553,143560,-5007,1657154,1491791,165363,1143574,1247948,1127796,1049215,35978,56288,-20310,582370,243478,338892,1707024,2106238,1458062,1343715,462502,49.11
2024-04-16,267164,185350,81814,1990979,221631,1769348,3834418,3895870,2582079,2988977,35086,54267,-19181,89770,2341304,-2251534,0,0,43025,0,125923,162314,-36391,1634803,1516902,117901,828645,720957,919998,662563,30442,56684,-26242,621884,257599,364285,1189939,1236175,1095078,988640,458615,43.69
2024-04-18,313344,181466,131878,2008184,215335,1792849,3539439,3669414,2248483,2840147,34833,54767,-19934,95452,2346040,-2250588,0,0,49775,0,99564,207050,-107486,1653985,1592125,61860,831834,606357,984380,634617,56991,61449,-4458,683001,287122,395879,1260303,1355805,1203563,1011437,504732,32.47
2024-04-19,290747,167098,123649,1979713,214300,1765413,3623771,3942067,3336657,3784520,34408,54369,-19961,97045,2334615,-2237570,0,0,53941,0,124179,227211,-103032,1673940,1558334,115606,1067630,785878,1266032,845876,41635,42291,-656,670003,313452,356551,1378492,1341948,1445172,1471406,490969,35.34
2024-04-22,294233,167897,126336,1971217,211099,1760118,4350497,4591514,4579545,4843240,33959,55762,-21803,101730,2353543,-2251813,0,0,59662,0,116259,225192,-108933,1719748,1562809,156939,1186449,958034,1309047,994819,51452,47052,4400,636290,301534,334756,1484383,1471781,1617115,1727310,495903,34.05
2024-04-23,301502,173447,128055,1977130,213001,1764129,5069729,5057926,4576545,4912812,33949,55747,-21798,109457,2369768,-2260311,0,0,65742,0,119088,228043,-108955,1708155,1517828,190327,1248939,1105200,1351477,987649,52392,49694,2698,604722,298867,305855,1418489,1574031,1534846,1628149,506931,34.31
2024-04-24,284383,154440,129943,1973261,220201,1753060,3508951,3708979,3336755,3771940,38096,54897,-16801,119306,2382916,-2263610,0,0,71894,0,105760,230153,-124393,1720531,1484073,236458,875386,633080,1037442,662598,53312,42061,11251,591122,317030,274092,1084215,1126493,1094844,1106397,481551,31.48
2024-04-25,240078,169431,70647,1880880,200713,1680167,2350609,2700489,2806394,3228203,37997,51219,-13222,85993,2371893,-2285900,100,0,72141,0,93833,147355,-53522,1731484,1408899,322585,678707,422214,901922,554486,40808,44711,-3903,466766,183618,283148,1133230,1039943,1288781,1286549,412716,38.9
2024-04-26,390292,239336,150956,2289175,234236,2054939,5834939,6228722,4395432,5532679,63364,102432,-39068,104510,2879429,-2774919,696,0,157746,0,116391,215468,-99077,1976109,1633779,342330,1318039,935063,1737493,1075326,51426,64237,-12811,598324,220674,377650,2061386,2051275,2164347,1847013,621473,35.07
2024-04-29,397453,293392,104061,2289902,236615,2053287,5545670,6225819,7422648,7993292,63021,102465,-39444,103591,2884709,-2781118,718,0,199216,0,153681,199665,-45984,2003084,1665679,337405,1543233,1105447,2116981,1483871,51816,70449,-18633,609995,219569,390426,2377661,2136016,3000937,3262619,665971,43.49
2024-04-30,365401,314933,50468,2252062,238578,2013484,4901747,5477939,4709994,5697314,62497,102572,-40075,101566,2895233,-2793667,1518,0,199249,0,201097,184671,16426,2103311,1676399,426912,1305267,768143,1835752,1053033,49181,76000,-26819,590021,236750,353271,1763450,1725900,1871565,1866213,678176,52.13
2024-05-02,360641,321595,39046,2267979,259964,2008015,4181197,4565459,3947572,4834755,62597,102642,-40045,95173,2932295,-2837122,1678,0,204337,0,214437,188822,25615,2154520,1663893,490627,1074551,662305,1379918,705324,48085,72701,-24616,588546,250066,338480,1758115,1787777,1904258,1896006,685760,53.18
2024-05-03,373547,271463,102084,2325170,239288,2085882,6758983,6926867,4307395,5536853,62597,102878,-40281,93392,2959942,-2866550,2078,0,192243,0,161677,208396,-46719,2054967,1679828,375139,1542542,1222722,1612735,961518,53818,68902,-15084,647021,241492,405529,2290789,2444803,2352226,1966228,651639,43.69
2024-05-06,386459,293334,93125,2321077,239578,2081499,8026534,8111350,5164241,6272860,62456,103496,-41040,89390,2979419,-2890029,2078,0,201066,0,175857,210895,-35038,2082915,1696377,386538,1672117,1393515,1640980,1056602,55592,72639,-17047,669703,247711,421992,2602351,2798215,2495115,2171940,680364,45.47
2024-05-07,397731,274209,123522,2297169,238170,2058999,9461618,9207802,5064610,6218931,66512,103078,-36566,96227,2986575,-2890348,2078,0,208262,0,163876,228594,-64718,2102826,1716152,386674,1929256,1678582,1854636,1170295,53015,75253,-22238,692240,247565,444675,2751701,3258269,2533272,2271554,681134,41.76
2024-05-08,431018,267123,163895,2310644,240722,2069922,7249996,7293982,4515823,5529332,66455,101868,-35413,106161,3023623,-2917462,2078,0,205422,0,152860,244108,-91248,2094189,1710195,383994,1497195,1262975,1641664,1070865,52954,90188,-37234,713129,249583,463546,2203897,2396209,2168267,1930979,703287,38.51
