Symbol,Tranche,ISIN,Payment_Date,Payment_Type,Amount_Per_Gram
SGBNOV25VI,2017-18 Series VI,IN0020170083,2018-05-07,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2018-05-11,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2018-05-14,COUPON,36.67
SGBNOV24,2016-17 Series III,IN0020160076,2018-05-17,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2018-05-21,COUPON,37.02
SGBNOV23,2015-16 Series I,IN0020150085,2018-05-28,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2018-05-28,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2018-06-04,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2018-06-11,COUPON,36.9
SGBDEC2512,2017-18 Series XII,IN0020170141,2018-06-18,COUPON,36.12
SGBDEC2513,2017-18 Series XIII,IN0020170158,2018-06-26,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2018-07-02,COUPON,36.02
SGBJULY25,2017-18 Series II,IN0020170034,2018-07-27,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2018-08-03,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2018-08-06,COUPON,35.75
SGBMAR25,2016-17 Series IV,IN0020160126,2018-09-14,COUPON,36.79
SGBMAR24,2015-16 Series III,IN0020150119,2018-09-25,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2018-09-28,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2018-10-15,COUPON,36.95
SGBOCT25IV,2017-18 Series IV,IN0020170067,2018-10-22,COUPON,37.34
SGBOCT25V,2017-18 Series V,IN0020170075,2018-10-29,COUPON,37.14
SGBMAY26,2018-19 Series I,IN0020180033,2018-11-02,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2018-11-05,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2018-11-09,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2018-11-12,COUPON,36.67
SGBNOV24,2016-17 Series III,IN0020160076,2018-11-15,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2018-11-19,COUPON,37.02
SGBNOV23,2015-16 Series I,IN0020150085,2018-11-26,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2018-11-26,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2018-12-03,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2018-12-10,COUPON,36.9
SGBDEC2512,2017-18 Series XII,IN0020170141,2018-12-17,COUPON,36.12
SGBDEC2513,2017-18 Series XIII,IN0020170158,2018-12-25,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2018-12-31,COUPON,36.02
SGBJULY25,2017-18 Series II,IN0020170034,2019-01-25,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2019-02-01,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2019-02-04,COUPON,35.75
SGBMAR25,2016-17 Series IV,IN0020160126,2019-03-15,COUPON,36.79
SGBMAR24,2015-16 Series III,IN0020150119,2019-03-26,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2019-03-29,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2019-04-15,COUPON,36.95
SGBOCT25IV,2017-18 Series IV,IN0020170067,2019-04-22,COUPON,37.34
SGBOCT26,2018-19 Series II,IN0020180249,2019-04-23,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2019-04-29,COUPON,37.14
SGBMAY26,2018-19 Series I,IN0020180033,2019-05-03,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2019-05-06,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2019-05-10,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2019-05-13,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2019-05-14,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2019-05-16,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2019-05-20,COUPON,37.02
SGBNOV23,2015-16 Series I,IN0020150085,2019-05-27,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2019-05-27,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2019-06-03,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2019-06-10,COUPON,36.9
SGBDEC2512,2017-18 Series XII,IN0020170141,2019-06-17,COUPON,36.12
SGBDEC2513,2017-18 Series XIII,IN0020170158,2019-06-25,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2019-07-01,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2019-07-02,COUPON,38.99
SGBJAN27,2018-19 Series V,IN0020180462,2019-07-23,COUPON,40.17
SGBJULY25,2017-18 Series II,IN0020170034,2019-07-26,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2019-08-02,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2019-08-05,COUPON,35.75
SGBFEB27,2018-19 Series VI,IN0020180561,2019-08-13,COUPON,41.58
SGBMAR25,2016-17 Series IV,IN0020160126,2019-09-13,COUPON,36.79
SGBMAR24,2015-16 Series III,IN0020150119,2019-09-24,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2019-09-27,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2019-10-14,COUPON,36.95
SGBOCT25IV,2017-18 Series IV,IN0020170067,2019-10-21,COUPON,37.34
SGBOCT26,2018-19 Series II,IN0020180249,2019-10-22,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2019-10-28,COUPON,37.14
SGBMAY26,2018-19 Series I,IN0020180033,2019-11-01,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2019-11-04,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2019-11-08,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2019-11-11,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2019-11-12,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2019-11-14,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2019-11-18,COUPON,37.02
SGBNOV23,2015-16 Series I,IN0020150085,2019-11-25,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2019-11-25,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2019-12-02,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2019-12-09,COUPON,36.9
SGBJUN27,2019-20 Series I,IN0020190073,2019-12-10,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2019-12-16,COUPON,36.12
SGBDEC2513,2017-18 Series XIII,IN0020170158,2019-12-24,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2019-12-30,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2019-12-31,COUPON,38.99
SGBJUL27,2019-20 Series II,IN0020190081,2020-01-14,COUPON,43.04
SGBJAN27,2018-19 Series V,IN0020180462,2020-01-21,COUPON,40.17
SGBJULY25,2017-18 Series II,IN0020170034,2020-01-24,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2020-01-31,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2020-02-03,COUPON,35.75
SGBFEB27,2018-19 Series VI,IN0020180561,2020-02-11,COUPON,41.58
SGBAUG27,2019-20 Series III,IN0020190107,2020-02-12,COUPON,43.74
SGBMAR25,2016-17 Series IV,IN0020160126,2020-03-13,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2020-03-17,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2020-03-24,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2020-03-27,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2020-04-13,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2020-04-14,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2020-04-20,COUPON,37.34
SGBOCT26,2018-19 Series II,IN0020180249,2020-04-21,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2020-04-27,COUPON,37.14
SGBOCT27VI,2019-20 Series VI,IN0020190388,2020-04-29,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2020-05-01,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2020-05-04,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2020-05-08,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2020-05-11,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2020-05-12,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2020-05-14,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2020-05-18,COUPON,37.02
SGBNOV23,2015-16 Series I,IN0020150085,2020-05-25,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2020-05-25,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2020-06-01,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2020-06-08,COUPON,36.9
SGBDC27VII,2019-20 Series VII,IN0020190461,2020-06-09,COUPON,47.44
SGBJUN27,2019-20 Series I,IN0020190073,2020-06-09,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2020-06-15,COUPON,36.12
SGBDEC2513,2017-18 Series XIII,IN0020170158,2020-06-23,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2020-06-29,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2020-06-30,COUPON,38.99
SGBJUL27,2019-20 Series II,IN0020190081,2020-07-14,COUPON,43.04
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2020-07-21,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2020-07-21,COUPON,40.17
SGBJULY25,2017-18 Series II,IN0020170034,2020-07-24,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2020-07-31,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2020-08-03,COUPON,35.75
SGBFEB27,2018-19 Series VI,IN0020180561,2020-08-11,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2020-08-11,COUPON,50.88
SGBAUG27,2019-20 Series III,IN0020190107,2020-08-12,COUPON,43.74
SGBMAR28X,2019-20 Series X,IN0020190552,2020-09-09,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2020-09-11,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2020-09-15,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2020-09-22,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2020-09-25,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2020-10-12,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2020-10-13,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2020-10-19,COUPON,37.34
SGBOCT26,2018-19 Series II,IN0020180249,2020-10-20,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2020-10-26,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2020-10-27,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2020-10-28,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2020-10-30,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2020-11-02,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2020-11-06,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2020-11-09,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2020-11-10,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2020-11-12,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2020-11-16,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2020-11-17,COUPON,57.38
SGBNOV23,2015-16 Series I,IN0020150085,2020-11-23,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2020-11-23,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2020-11-30,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2020-12-07,COUPON,36.9
SGBDC27VII,2019-20 Series VII,IN0020190461,2020-12-08,COUPON,47.44
SGBJUN27,2019-20 Series I,IN0020190073,2020-12-08,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2020-12-14,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2020-12-15,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2020-12-22,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2020-12-28,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2020-12-29,COUPON,38.99
SGBJUL27,2019-20 Series II,IN0020190081,2021-01-12,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2021-01-12,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2021-01-19,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2021-01-19,COUPON,40.17
SGBJULY25,2017-18 Series II,IN0020170034,2021-01-22,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2021-01-29,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2021-02-01,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2021-02-09,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2021-02-09,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2021-02-09,COUPON,50.88
SGBAUG27,2019-20 Series III,IN0020190107,2021-02-10,COUPON,43.74
SGBSEP28VI,2020-21 Series VI,IN0020200195,2021-03-09,COUPON,63.97
SGBMAR28X,2019-20 Series X,IN0020190552,2021-03-10,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2021-03-12,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2021-03-16,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2021-03-23,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2021-03-26,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2021-04-12,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2021-04-13,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2021-04-19,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2021-04-20,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2021-04-20,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2021-04-26,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2021-04-27,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2021-04-28,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2021-04-30,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2021-05-03,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2021-05-07,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2021-05-10,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2021-05-11,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2021-05-13,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2021-05-17,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2021-05-18,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2021-05-19,COUPON,64.72
SGBNOV23,2015-16 Series I,IN0020150085,2021-05-24,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2021-05-24,COUPON,37.05
SGBDEC25,2017-18 Series X,IN0020170125,2021-05-31,COUPON,37.02
SGBDEC25XI,2017-18 Series XI,IN0020170133,2021-06-07,COUPON,36.9
SGBDC27VII,2019-20 Series VII,IN0020190461,2021-06-08,COUPON,47.44
SGBJUN27,2019-20 Series I,IN0020190073,2021-06-08,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2021-06-14,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2021-06-15,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2021-06-22,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2021-06-28,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2021-06-29,COUPON,38.99
SGBJAN29IX,2020-21 Series IX,IN0020200377,2021-07-06,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2021-07-13,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2021-07-13,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2021-07-20,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2021-07-20,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2021-07-20,COUPON,63.8
SGBJULY25,2017-18 Series II,IN0020170034,2021-07-23,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2021-07-30,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2021-08-02,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2021-08-10,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2021-08-10,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2021-08-10,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2021-08-10,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2021-08-11,COUPON,43.74
SGBMR29XII,2020-21 Series XII,IN0020200427,2021-09-07,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2021-09-07,COUPON,63.97
SGBMAR28X,2019-20 Series X,IN0020190552,2021-09-08,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2021-09-10,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2021-09-14,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2021-09-21,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2021-09-24,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2021-10-11,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2021-10-12,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2021-10-18,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2021-10-19,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2021-10-19,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2021-10-25,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2021-10-26,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2021-10-27,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2021-10-29,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2021-11-01,COUPON,36.81
SGBMAY25,2017-18 Series I,IN0020170018,2021-11-05,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2021-11-08,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2021-11-09,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2021-11-11,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2021-11-15,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2021-11-16,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2021-11-17,COUPON,64.72
SGBNOV23,2015-16 Series I,IN0020150085,2021-11-22,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2021-11-22,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2021-11-23,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2021-11-29,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2021-11-30,COUPON,60.52
SGBDEC25XI,2017-18 Series XI,IN0020170133,2021-12-06,COUPON,36.9
SGBDC27VII,2019-20 Series VII,IN0020190461,2021-12-07,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2021-12-07,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2021-12-07,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2021-12-13,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2021-12-14,COUPON,58.47
SGBDEC2513,2017-18 Series XIII,IN0020170158,2021-12-21,COUPON,35.83
SGBJAN26,2017-18 Series XIV,IN0020170166,2021-12-27,COUPON,36.02
SGBDEC26,2018-19 Series IV,IN0020180389,2021-12-28,COUPON,38.99
SGBJAN29IX,2020-21 Series IX,IN0020200377,2022-01-04,COUPON,62.5
SGBJUL27,2019-20 Series II,IN0020190081,2022-01-11,COUPON,43.04
SGBJUL28IV,2020-21 Series IV,IN0020200146,2022-01-11,COUPON,60.65
SGBJ28VIII,2019-20 Series VIII,IN0020190537,2022-01-18,COUPON,50.2
SGBJAN27,2018-19 Series V,IN0020180462,2022-01-18,COUPON,40.17
SGBJAN29X,2020-21 Series X,IN0020200385,2022-01-18,COUPON,63.8
SGBJUL29IV,2021-22 Series IV,IN0020210111,2022-01-18,COUPON,60.09
SGBJULY25,2017-18 Series II,IN0020170034,2022-01-21,COUPON,35.38
SGBAUG24,2016-17 Series I,IN0020160027,2022-01-28,COUPON,38.99
SGBFEB24,2015-16 Series II,IN0020150101,2022-01-31,COUPON,35.75
SGBAUG28V,2020-21 Series V,IN0020200161,2022-02-08,COUPON,66.67
SGBFEB27,2018-19 Series VI,IN0020180561,2022-02-08,COUPON,41.58
SGBFEB28IX,2019-20 Series IX,IN0020190545,2022-02-08,COUPON,50.88
SGBFEB29XI,2020-21 Series XI,IN0020200393,2022-02-08,COUPON,61.4
SGBAUG27,2019-20 Series III,IN0020190107,2022-02-09,COUPON,43.74
SGBAUG29V,2021-22 Series V,IN0020210129,2022-02-15,COUPON,59.88
SGBMR29XII,2020-21 Series XII,IN0020200427,2022-03-08,COUPON,58.27
SGBSEP28VI,2020-21 Series VI,IN0020200195,2022-03-08,COUPON,63.97
SGBSEP29VI,2021-22 Series VI,IN0020210145,2022-03-08,COUPON,59.15
SGBMAR28X,2019-20 Series X,IN0020190552,2022-03-09,COUPON,53.25
SGBMAR25,2016-17 Series IV,IN0020160126,2022-03-11,COUPON,36.79
SGBSEP27,2019-20 Series IV,IN0020190115,2022-03-15,COUPON,48.62
SGBMAR24,2015-16 Series III,IN0020150119,2022-03-22,COUPON,40.09
SGBSEP24,2016-17 Series II,IN0020160043,2022-03-25,COUPON,39.38
SGBOCT25,2017-18 Series III,IN0020170059,2022-04-11,COUPON,36.95
SGBOCT27,2019-20 Series V,IN0020190370,2022-04-12,COUPON,47.35
SGBOCT25IV,2017-18 Series IV,IN0020170067,2022-04-18,COUPON,37.34
SGBOC28VII,2020-21 Series VII,IN0020200203,2022-04-19,COUPON,63.14
SGBOCT26,2018-19 Series II,IN0020180249,2022-04-19,COUPON,39.33
SGBOCT25V,2017-18 Series V,IN0020170075,2022-04-25,COUPON,37.14
SGBAPR28I,2020-21 Series I,IN0020200062,2022-04-26,COUPON,57.99
SGBOCT27VI,2019-20 Series VI,IN0020190388,2022-04-27,COUPON,47.94
SGBMAY26,2018-19 Series I,IN0020180033,2022-04-29,COUPON,38.92
SGBNOV25VI,2017-18 Series VI,IN0020170083,2022-05-02,COUPON,36.81
SGBNV29VII,2021-22 Series VII,IN0020210178,2022-05-03,COUPON,59.52
SGBMAY25,2017-18 Series I,IN0020170018,2022-05-06,COUPON,36.89
SGBNOV25,2017-18 Series VII,IN0020170091,2022-05-09,COUPON,36.67
SGBNOV26,2018-19 Series III,IN0020180314,2022-05-10,COUPON,39.79
SGBNOV24,2016-17 Series III,IN0020160076,2022-05-12,COUPON,37.59
SGBNOV258,2017-18 Series VIII,IN0020170109,2022-05-16,COUPON,37.02
SGBMAY28,2020-21 Series II,IN0020200088,2022-05-17,COUPON,57.38
SGBN28VIII,2020-21 Series VIII,IN0020200286,2022-05-18,COUPON,64.72
SGBNOV23,2015-16 Series I,IN0020150085,2022-05-23,COUPON,36.91
SGBNOV25IX,2017-18 Series IX,IN0020170117,2022-05-23,COUPON,37.05
SGBMAY29I,2021-22 Series I,IN0020210053,2022-05-24,COUPON,59.72
SGBDEC25,2017-18 Series X,IN0020170125,2022-05-30,COUPON,37.02
SGBJUN29II,2021-22 Series II,IN0020210061,2022-05-31,COUPON,60.52
SGBDEC25XI,2017-18 Series XI,IN0020170133,2022-06-06,COUPON,36.9
SGBD29VIII,2021-22 Series VIII,IN0020210228,2022-06-07,COUPON,59.89
SGBDC27VII,2019-20 Series VII,IN0020190461,2022-06-07,COUPON,47.44
SGBJU29III,2021-22 Series III,IN0020210087,2022-06-07,COUPON,61.12
SGBJUN27,2019-20 Series I,IN0020190073,2022-06-07,COUPON,39.95
SGBDEC2512,2017-18 Series XII,IN0020170141,2022-06-13,COUPON,36.12
SGBJUN28,2020-21 Series III,IN0020200104,2022-06-14,COUPON,58.47
