Sr_No,Tranche,Symbol,BSE_Code,ISIN,Issue_Date,Issue_Price,Online_Price,Maturity_Date,Premature_Exit_Date,Coupon_Rate_Pct,Annual_Interest_Per_Gram,Units_Subscribed_Grams,Total_Amount_Cr,Status,Redemption_Price,Secondary_Market_LTP,Capital_Gains_Pct,Total_CAGR_Pct
14,2017-18 Series VII,SGBNOV25,800014,IN0020170091,2017-11-13,2934.0,2884.0,2025-11-13,2022-11-13,2.5,73.35,175121,51.38,REDEEMED,10210.0,10348.72,247.99,17.69
15,2017-18 Series VIII,SGBNOV258,800015,IN0020170109,2017-11-20,2961.0,2911.0,2025-11-20,2022-11-20,2.5,74.03,135666,40.17,REDEEMED,10250.0,10403.74,246.17,17.61
16,2017-18 Series IX,SGBNOV25IX,800016,IN0020170117,2017-11-27,2964.0,2914.0,2025-11-27,2022-11-27,2.5,74.1,105512,31.27,REDEEMED,10280.0,10390.0,246.83,17.64
17,2017-18 Series X,SGBDEC25,800278,IN0020170125,2017-12-04,2961.0,2911.0,2025-12-04,2022-12-04,2.5,74.03,107380,31.8,REDEEMED,10330.0,10320.01,248.87,17.72
18,2017-18 Series XI,SGBDEC25XI,800279,IN0020170133,2017-12-11,2952.0,2902.0,2025-12-11,2022-12-11,2.5,73.8,81614,24.09,REDEEMED,10350.0,10245.0,250.61,17.79
19,2017-18 Series XII,SGBDEC2512,800019,IN0020170141,2017-12-18,2890.0,2840.0,2025-12-18,2022-12-18,2.5,72.25,111218,32.14,REDEEMED,10380.0,10475.0,259.17,18.13
20,2017-18 Series XIII,SGBDEC2513,800020,IN0020170158,2017-12-26,2866.0,2816.0,2025-12-26,2022-12-26,2.5,71.65,131958,37.82,REDEEMED,10400.0,10507.28,262.88,18.27
21,2017-18 Series XIV,SGBJAN26,800021,IN0020170166,2018-01-01,2881.0,2831.0,2026-01-01,2023-01-01,2.5,72.03,327434,94.33,REDEEMED,10420.0,10438.0,261.68,18.23
22,2018-19 Series I,SGBMAY26,800022,IN0020180033,2018-05-04,3114.0,3064.0,2026-05-04,2023-05-04,2.5,77.85,650337,202.51,REDEEMED,10500.0,10490.0,237.19,17.25
23,2018-19 Series II,SGBOCT26,800023,IN0020180249,2018-10-23,3146.0,3096.0,2026-10-23,2023-10-23,2.5,78.65,312258,98.24,ACTIVE,,10399.0,230.55,17.14
24,2018-19 Series III,SGBNOV26,800024,IN0020180314,2018-11-13,3183.0,3133.0,2026-11-13,2023-11-13,2.5,79.58,409398,130.31,ACTIVE,,10698.22,236.1,17.51
25,2018-19 Series IV,SGBDEC26,800290,IN0020180389,2019-01-01,3119.0,3069.0,2027-01-01,2024-01-01,2.5,77.98,207886,64.84,ACTIVE,,10500.0,236.65,17.85
26,2018-19 Series V,SGBJAN27,800026,IN0020180462,2019-01-22,3214.0,3164.0,2027-01-22,2024-01-22,2.5,80.35,243606,78.29,ACTIVE,,10500.0,226.7,17.55
27,2018-19 Series VI,SGBFEB27,800027,IN0020180561,2019-02-12,3326.0,3276.0,2027-02-12,2024-02-12,2.5,83.15,207388,68.98,ACTIVE,,10508.05,215.94,17.2
28,2019-20 Series I,SGBJUN27,800028,IN0020190073,2019-06-11,3196.0,3146.0,2027-06-11,2024-06-10,2.5,79.9,459789,146.95,ACTIVE,,10490.0,228.22,18.58
29,2019-20 Series II,SGBJUL27,800296,IN0020190081,2019-07-16,3443.0,3393.0,2027-07-16,2024-07-15,2.5,86.08,535947,184.53,ACTIVE,,10695.14,210.63,17.98
30,2019-20 Series III,SGBAUG27,800297,IN0020190107,2019-08-14,3499.0,3449.0,2027-08-14,2024-08-13,2.5,87.48,1024837,358.59,ACTIVE,,10890.0,211.23,18.22
31,2019-20 Series IV,SGBSEP27,800301,IN0020190115,2019-09-17,3890.0,3840.0,2027-09-17,2024-09-16,2.5,97.25,627892,244.25,ACTIVE,,10411.02,167.64,16.09
32,2019-20 Series V,SGBOCT27,800032,IN0020190370,2019-10-15,3788.0,3738.0,2027-10-15,2024-10-14,2.5,94.7,455776,172.65,ACTIVE,,10699.95,182.47,17.13
33,2019-20 Series VI,SGBOCT27VI,800033,IN0020190388,2019-10-30,3835.0,3785.0,2027-10-30,2024-10-29,2.5,95.88,693210,265.85,ACTIVE,,10391.0,170.95,16.57
34,2019-20 Series VII,SGBDC27VII,800034,IN0020190461,2019-12-10,3795.0,3745.0,2027-12-10,2024-12-09,2.5,94.88,648304,246.03,ACTIVE,,10502.0,176.73,17.19
35,2019-20 Series VIII,SGBJ28VIII,800035,IN0020190537,2020-01-21,4016.0,3966.0,2028-01-21,2025-01-20,2.5,100.4,522119,209.68,ACTIVE,,10492.2,161.26,16.54
36,2019-20 Series IX,SGBFEB28IX,800036,IN0020190545,2020-02-11,4070.0,4020.0,2028-02-11,2025-02-10,2.5,101.75,405957,165.22,ACTIVE,,10649.99,161.67,16.72
37,2019-20 Series X,SGBMAR28X,800037,IN0020190552,2020-03-11,4260.0,4210.0,2028-03-11,2025-03-11,2.5,106.5,757338,322.63,ACTIVE,,10597.96,148.78,16.08
38,2020-21 Series I,SGBAPR28I,800318,IN0020200062,2020-04-28,4639.0,4589.0,2028-04-28,2025-04-28,2.5,115.98,1772874,822.44,ACTIVE,,10790.0,132.59,15.27
39,2020-21 Series II,SGBMAY28,800320,IN0020200088,2020-05-19,4590.0,4540.0,2028-05-19,2025-05-19,2.5,114.75,2544294,1167.83,ACTIVE,,10500.0,128.76,15.12
40,2020-21 Series III,SGBJUN28,800322,IN0020200104,2020-06-16,4677.0,4627.0,2028-06-16,2025-06-16,2.5,116.93,2388328,1117.02,ACTIVE,,10500.0,124.5,14.99
41,2020-21 Series IV,SGBJUL28IV,800324,IN0020200146,2020-07-14,4852.0,4802.0,2028-07-14,2025-07-14,2.5,121.3,4130820,2004.27,ACTIVE,,10490.0,116.2,14.52
42,2020-21 Series V,SGBAUG28V,800325,IN0020200161,2020-08-11,5334.0,5284.0,2028-08-11,2025-08-11,2.5,133.35,6349781,3386.97,ACTIVE,,10523.0,97.28,13.11
43,2020-21 Series VI,SGBSEP28VI,800327,IN0020200195,2020-09-08,5117.0,5067.0,2028-09-08,2025-09-08,2.5,127.93,3190133,1632.39,ACTIVE,,10564.0,106.45,14.07
44,2020-21 Series VII,SGBOC28VII,800044,IN0020200203,2020-10-20,5051.0,5001.0,2028-10-20,2025-10-20,2.5,126.28,1859518,939.24,ACTIVE,,10522.0,108.32,14.49
45,2020-21 Series VIII,SGBN28VIII,800045,IN0020200286,2020-11-18,5177.0,5127.0,2028-11-18,2025-11-18,2.5,129.43,1573457,814.58,ACTIVE,,10535.0,103.5,14.26
46,2020-21 Series IX,SGBJAN29IX,800331,IN0020200377,2021-01-05,5000.0,4950.0,2029-01-05,2026-01-05,2.5,125.0,2869886,1434.94,ACTIVE,,10500.0,110.0,15.17
47,2020-21 Series X,SGBJAN29X,800047,IN0020200385,2021-01-19,5104.0,5054.0,2029-01-19,2026-01-19,2.5,127.6,1214048,619.65,ACTIVE,,10482.01,105.37,14.85
48,2020-21 Series XI,SGBFEB29XI,800048,IN0020200393,2021-02-09,4912.0,4862.0,2029-02-09,2026-02-09,2.5,122.8,1227915,603.15,ACTIVE,,10480.45,113.36,15.73
49,2020-21 Series XII,SGBMR29XII,800339,IN0020200427,2021-03-09,4662.0,4612.0,2029-03-09,2026-03-09,2.5,116.55,3230907,1506.25,ACTIVE,,10550.0,126.3,17.11
50,2021-22 Series I,SGBMAY29I,800340,IN0020210053,2021-05-25,4777.0,4727.0,2029-05-25,2026-05-25,2.5,119.43,5318973,2540.87,ACTIVE,,10514.0,120.1,17.22
51,2021-22 Series II,SGBJUN29II,800341,IN0020210061,2021-06-01,4842.0,4792.0,2029-06-01,2026-06-01,2.5,121.05,1898475,919.24,ACTIVE,,10585.0,118.61,17.14
52,2021-22 Series III,SGBJU29III,800052,IN0020210087,2021-06-08,4889.0,4839.0,2029-06-08,2026-06-08,2.5,122.23,1479232,723.2,ACTIVE,,10549.0,115.77,16.93
53,2021-22 Series IV,SGBJUL29IV,800053,IN0020210111,2021-07-20,4807.0,4757.0,2029-07-20,2026-07-20,2.5,120.18,2923762,1405.45,ACTIVE,,10550.0,119.47,17.67
54,2021-22 Series V,SGBAUG29V,800385,IN0020210129,2021-08-17,4790.0,4740.0,2029-08-17,2026-08-17,2.5,119.75,2292743,1098.22,ACTIVE,,10650.0,122.34,18.22
55,2021-22 Series VI,SGBSEP29VI,800386,IN0020210145,2021-09-07,4732.0,4682.0,2029-09-07,2026-09-07,2.5,118.3,3520341,1665.83,ACTIVE,,10556.01,123.08,18.51
56,2021-22 Series VII,SGBNV29VII,800056,IN0020210178,2021-11-02,4761.0,4711.0,2029-11-02,2026-11-02,2.5,119.03,3248238,1546.49,ACTIVE,,10647.95,123.65,19.16
57,2021-22 Series VIII,SGBD29VIII,800437,IN0020210228,2021-12-07,4791.0,4741.0,2029-12-07,2026-12-07,2.5,119.78,2480493,1188.4,ACTIVE,,10701.0,123.36,19.52
58,2021-22 Series IX,SGBJAN30IX,800058,IN0020210236,2022-01-18,4786.0,4736.0,2030-01-18,2027-01-18,2.5,119.65,2333188,1116.66,ACTIVE,,10955.7,128.91,20.62
59,2021-22 Series X,SGBMAR30X,800439,IN0020210319,2022-03-08,5109.0,5059.0,2030-03-08,2027-03-08,2.5,127.73,1539694,786.63,ACTIVE,,10960.0,114.52,19.61
60,2022-23 Series I,SGBJUN30,800060,IN0020220045,2022-06-28,5091.0,5041.0,2030-06-28,2027-06-28,2.5,127.28,2557864,1302.21,ACTIVE,,11439.99,124.71,22.34
61,2022-23 Series II,SGBAUG30,800488,IN0020220078,2022-08-30,5197.0,5147.0,2030-08-30,2027-08-30,2.5,129.93,3360408,1746.4,ACTIVE,,11511.0,121.49,22.92
62,2022-23 Series III,SGBDE30III,800062,IN0020220110,2022-12-27,5409.0,5359.0,2030-12-27,2027-12-27,2.5,135.22,2811010,1520.48,ACTIVE,,11199.99,107.06,22.89
63,2022-23 Series IV,SGBMAR31IV,800575,IN0020220169,2023-03-14,5611.0,5561.0,2031-03-14,2028-03-13,2.5,140.28,3531586,1981.57,ACTIVE,,11457.99,104.21,23.86
64,2023-24 Series I,SGBJUN31I,800580,IN0020230069,2023-06-27,5926.0,5876.0,2031-06-27,2028-06-26,2.5,148.15,7769290,4604.08,ACTIVE,,11435.0,92.96,24.0
65,2023-24 Series II,SGBSEP31II,800596,IN0020230093,2023-09-20,5923.0,5873.0,2031-09-20,2028-09-19,2.5,148.08,11673960,6914.49,ACTIVE,,11292.0,90.65,25.47
66,2023-24 Series III,SGBDE31III,800603,IN0020230168,2023-12-28,6199.0,6149.0,2031-12-28,2028-12-27,2.5,154.98,12106807,7505.01,ACTIVE,,11498.0,85.48,26.93
67,2023-24 Series IV,SGBFEB32IV,800605,IN0020230184,2024-02-21,6263.0,6213.0,2032-02-21,2029-02-20,2.5,156.58,12785729,8007.7,ACTIVE,,12100.0,93.2,30.57
