Ex_Date,Record_Date,Symbol,Company_Name,Series,Action_Type,Ratio_or_Amount,Purpose,Face_Value,ISIN,BC_Start_Date,BC_End_Date
2026-09-23,2026-09-23,RMDRIP,R M Drip and Sprinklers Systems Limited,EQ,DIVIDEND,0.03,Dividend - Re 0.03 Per Share,1,INE219Y01018,,
2026-09-23,2026-09-23,SAHLIBHFI,Shalibhadra Finance Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE861D01011,,
2026-09-23,2026-09-23,SATIA,Satia Industries Limited,EQ,DIVIDEND,0.40,Dividend - Re 0.40 Per Share,1,INE170E01015,,
2026-09-23,2026-09-23,SIGIND,Signet Industries Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE529F01035,,
2026-09-23,2026-09-23,SSWL,Steel Strips Wheels Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,1,INE802C01017,,
2026-09-23,2026-09-23,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,2,INE615H01020,,
2026-09-23,2026-09-23,VINCOFE,Vintage Coffee And Beverages Limited,EQ,DIVIDEND,0.15,Dividend - Re 0.15 Per Share,10,INE498Q01014,,
2026-09-22,2026-09-22,3BBLACKBIO,3B Blackbio Dx Limited,EQ,DIVIDEND,5.00,Dividend - Rs 5 Per Share,10,INE994E01018,,
2026-09-22,2026-09-22,AARTECH,Aartech Solonics Limited,EQ,DIVIDEND,0.12,Dividend - Re 0.125 Per Share,5,INE01C001018,,
2026-09-22,2026-09-22,AARTISURF,Aarti Surfactants Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE09EO01013,,
2026-09-22,2026-09-22,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,DIVIDEND,0.70,Dividend - Re 0.70 Per Share,2,INE758C01029,,
2026-09-22,2026-09-22,AMBIKCO,Ambika Cotton Mills Limited,EQ,DIVIDEND,37.00,Dividend - Rs 37 Per Share,10,INE540G01014,,
2026-09-22,2026-09-22,ARIES,Aries Agro Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share/Special Dividend - Re 1 Per Share,10,INE298I01015,,
2026-09-22,2026-09-22,ASHAPURMIN,Ashapura Minechem Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,2,INE348A01023,,
2026-09-22,2026-09-22,ASHIANA,Ashiana Housing Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,2,INE365D01013,,
2026-09-22,2026-09-22,AURIONPRO,Aurionpro Solutions Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Sh,10,INE132H01018,,
2026-09-22,2026-09-22,BEEKAY,Beekay Steel Industries Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE213D01015,,
2026-09-22,2026-09-22,BEML,BEML Limited,EQ,DIVIDEND,12.28,Dividend - Rs 12.28 Per Share,5,INE258A01016,,
2026-09-22,2026-09-22,BESTAGRO,Best Agrolife Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,1,INE052T01013,,
2026-09-22,2026-09-22,COMSYN,Commercial Syn Bags Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE073V01015,,
2026-09-22,2026-09-22,CSM,CSM Technologies Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE0ZK601013,,
2026-09-22,2026-09-22,DECCANCE,Deccan Cements Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,5,INE583C01013,,
2026-09-22,2026-09-22,FISCHER,Fischer Medical Ventures Limited,EQ,DIVIDEND,0.05,Dividend - Re 0.05 Per Share,1,INE771F01025,,
2026-09-22,2026-09-22,GOCLCORP,GOCL Corporation Limited,EQ,DIVIDEND,30.00,Dividend - Rs 30 Per Share,2,INE077F01035,,
2026-09-22,2026-09-22,GVPTECH,GVP Infotech Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,2,INE382T01030,,
2026-09-22,2026-09-22,HFCL,HFCL Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,1,INE548A01028,,
2026-09-22,2026-09-22,HINDCOMPOS,Hindustan Composites Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,5,INE310C01011,,
2026-09-22,2026-09-22,IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,2,INE335Y01012,,
2026-09-22,2026-09-22,JAMNAAUTO,Jamna Auto Industries Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,1,INE039C01016,,
2026-09-22,2026-09-22,KLBRENG-B,Kilburn Engineering Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,10,INE338F01015,,
2026-09-22,2026-09-22,KPEL,K.P. Energy Limited,EQ,DIVIDEND,0.25,Dividend - Re 0.25 Per Share,5,INE127T01021,,
2026-09-22,2026-09-22,KPIGREEN,KPI Green Energy Limited,EQ,DIVIDEND,0.25,Dividend - Rs 0.25 Per Share/Special Dividend - Re 0.15 Per Share,5,INE542W01017,,
2026-09-22,2026-09-22,LAHOTIOV,Lahoti Overseas Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,2,INE515C01023,,
2026-09-22,2026-09-22,LAMBODHARA,Lambodhara Textiles Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,5,INE112F01014,,
2026-09-22,2026-09-22,LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,DIVIDEND,2.50,Dividend - Rs 2.50 Per Share,10,INE850E01012,,
2026-09-22,2026-09-22,MALLCOM,Mallcom (India) Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,10,INE389C01015,,
2026-09-22,2026-09-22,NIBE,NIBE Limited,EQ,DIVIDEND,1.30,Dividend - Rs 1.30 Per Share,10,INE149O01018,,
2026-09-22,2026-09-22,NLCINDIA,NLC India Limited,EQ,DIVIDEND,0.25,Dividend - Re 0.25 Per Share,10,INE589A01014,,
2026-09-22,2026-09-22,ONEGLOBAL,One Global Service Provider Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE670O01013,,
2026-09-22,2026-09-22,ONELIFECAP,Onelife Capital Advisors Limited,EQ,DIVIDEND,0.01,Dividend - Re 0.01 Per Share,10,INE912L01015,,
2026-09-22,2026-09-22,PARAGMILK,Parag Milk Foods Limited,EQ,DIVIDEND,1.10,Dividend - Rs 1.10 Per Share,10,INE883N01014,,
2026-09-22,2026-09-22,QPOWER,Quality Power Electrical Equipments Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE0SII01026,,
2026-09-22,2026-09-22,RAJOOENG,Rajoo Engineers Limited,EQ,DIVIDEND,0.15,Dividend - Re 0.15 Per Share,1,INE535F01024,,
2026-09-22,2026-09-22,REPCOHOME,Repco Home Finance Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,10,INE612J01015,,
2026-09-22,2026-09-22,RIR,RIR Power Electronics Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,2,INE302D01024,,
2026-09-22,2026-09-22,RUBFILA,Rubfila International Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,5,INE642C01025,,
2026-09-22,2026-09-22,RUCHIRA,Ruchira Papers Limited,EQ,DIVIDEND,2.50,Dividend - Rs 2.50 Per Share,10,INE803H01014,,
2026-09-22,2026-09-22,SIGACHI,Sigachi Industries Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,1,INE0D0K01014,,
2026-09-22,2026-09-22,SMSPHARMA,SMS Pharmaceuticals Limited,EQ,DIVIDEND,0.40,Dividend - Re 0.40 Per Share,1,INE812G01017,,
2026-09-22,2026-09-22,TAALTECH,Taal Tech Limited,EQ,SPLIT,10:2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,INE524T01011,,
2026-09-22,2026-09-22,TERASOFT,Tera Software Limited,EQ,DIVIDEND,1.20,Dividend - Rs 1.20 Per Share,10,INE482B01010,,
2026-09-22,2026-09-22,VIVIANA,Viviana Power Tech Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Sh,10,INE0MEG01014,,
2026-09-21,2026-09-21,ABINFRA,A B Infrabuild Limited,EQ,DIVIDEND,0.01,Dividend - Re 0.006 Per Share,1,INE00YB01017,,
2026-09-21,2026-09-21,ALICON,Alicon Castalloy Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,5,INE062D01024,,
2026-09-21,2026-09-21,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,5,INE451F01016,,
2026-09-21,2026-09-21,ASTAR,Asian Star Company Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,10,INE194D01017,,
2026-09-21,2026-09-21,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,DIVIDEND,65.00,Interim Dividend - Rs 65 Per Share,10,INE118A01012,,
2026-09-21,2026-09-21,BDL,Bharat Dynamics Limited,EQ,DIVIDEND,0.40,Dividend - Re 0.40 Per Share,5,INE171Z01018,,
2026-09-21,2026-09-21,BEARDSELL,Beardsell Limited,EQ,DIVIDEND,0.10,Dividend - Re 0.10 Per Share,2,INE520H01014,,
2026-09-21,2026-09-21,CGVAK,CG Vak Software & Exports Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE084D01010,,
2026-09-21,2026-09-21,CLSEL,Chaman Lal Setia Exports Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,2,INE419D01026,,
2026-09-21,2026-09-21,CONCOR,Container Corporation of India Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Sh,5,INE111A01017,,
2026-09-21,2026-09-21,CORDSCABLE,Cords Cable Industries Limited,EQ,DIVIDEND,1.20,Dividend - Rs 1.20 Per Share,10,INE792I01017,,
2026-09-21,2026-09-21,CYBERTECH,Cybertech Systems And Software Limited,EQ,DIVIDEND,4.00,Dividend - Rs 4 Per Share,10,INE214A01019,,
2026-09-21,2026-09-21,DIXON,Dixon Technologies (India) Limited,EQ,DIVIDEND,10.00,Dividend - Rs 10 Per Share,2,INE935N01012,,
2026-09-21,2026-09-21,GTPL,GTPL Hathway Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE869I01013,,
2026-09-21,2026-09-21,GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE826C01016,,
2026-09-21,2026-09-21,ISGEC,Isgec Heavy Engineering Limited,EQ,DIVIDEND,6.00,Dividend - Rs 6 Per Share,1,INE858B01029,,
2026-09-21,2026-09-21,JAICORPLTD,Jai Corp Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,1,INE070D01027,,
2026-09-21,2026-09-21,JSLL,Jeena Sikho Lifecare Limited,EQ,DIVIDEND,4.50,Dividend - Rs 4.50 Per Share,2,INE0J5801011,,
2026-09-21,2026-09-21,KAJARIACER,Kajaria Ceramics Limited,EQ,DIVIDEND,6.00,Dividend - Rs 6 Per Share,1,INE217B01028,,
2026-09-21,2026-09-21,KEYFINSERV,Keynote Financial Services Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE681C01015,,
2026-09-21,2026-09-21,KINGFA,Kingfa Science & Technology (India) Limited,EQ,DIVIDEND,20.00,Dividend - Rs 20 Per Share,10,INE473D01015,,
2026-09-21,2026-09-21,KJMCFIN,KJMC Financial Services Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE128701013,,
2026-09-21,2026-09-21,KRISHIVAL,Krishival Foods Limited,EQ,DIVIDEND,0.35,Dividend - Re 0.35 Per Share,10,INE0GGO01015,,
2026-09-21,2026-09-21,LANCORHOL,Lancor Holdings Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share/Special Dividend - Re 0.10 Per Share,2,INE572G01025,,
2026-09-21,2026-09-21,MAHSCOOTER,Maharashtra Scooters Limited,EQ,DIVIDEND,160.00,Intdividend - Rs 160 Per Share,10,INE288A01013,,
2026-09-21,2026-09-21,MAITHANALL,Maithan Alloys Limited,EQ,DIVIDEND,6.00,Dividend - Rs 6 Per Share,10,INE683C01011,,
2026-09-21,2026-09-21,MANALIPETC,Manali Petrochemicals Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,5,INE201A01024,,
2026-09-21,2026-09-21,MANYAVAR,Vedant Fashions Limited,EQ,DIVIDEND,7.75,Dividend - Rs 7.75 Per Share,1,INE825V01034,,
2026-09-21,2026-09-21,MONTECARLO,Monte Carlo Fashions Limited,EQ,DIVIDEND,20.00,Dividend - Rs 20 Per Share,10,INE950M01013,,
2026-09-21,2026-09-21,NIPPOBATRY,Indo-National Limited,EQ,DIVIDEND,3.75,Dividend - Rs 3.75 Per Share,5,INE567A01010,,
2026-09-21,2026-09-21,ORICONENT,Oricon Enterprises Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,2,INE730A01022,,
2026-09-21,2026-09-21,PNBGILTS,PNB Gilts Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE859A01011,,
2026-09-21,2026-09-21,ROTO,Roto Pumps Limited,EQ,DIVIDEND,0.19,Dividend - Re 0.19 Per Share,1,INE535D01029,,
2026-09-21,2026-09-21,SHIVALIK,Shivalik Rasayan Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,5,INE788J01021,,
2026-09-21,2026-09-21,SHUKRAPHAR,Shukra Pharmaceuticals Limited,EQ,DIVIDEND,0.01,Dividend - Re 0.01 Per Share,1,INE551C01044,,
2026-09-21,2026-09-21,SPIC,Southern Petrochemicals Industries Corporation  Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE147A01011,,
2026-09-21,2026-09-21,SREEL,Sreeleathers Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE099F01013,,
2026-09-21,2026-09-21,UDAYJEW,Uday Jewellery Industries Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE551B01012,,
2026-09-21,2026-09-21,VETO,Veto Switchgears And Cables Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE918N01018,,
2026-09-21,2026-09-21,WIPL,The Western India Plywoods Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE215F01023,,
2026-09-21,2026-09-21,ZOTA,Zota Health Care LImited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE358U01012,,
2026-09-18,2026-09-18,ANDHRSUGAR,The Andhra Sugars Limited,EQ,DIVIDEND,1.20,Dividend - Rs 1.20 Per Share/Special Dividend - Re 0.20 Per Share,2,INE715B01013,,
2026-09-18,2026-09-18,ANURAS,Anupam Rasayan India Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,10,INE930P01018,,
2026-09-18,2026-09-19,ARIHANTCAP,Arihant Capital Markets Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50  Per Share,1,INE420B01028,,
2026-09-18,2026-09-18,AVG,AVG Logistics Limited,EQ,DIVIDEND,1.20,Dividend - Rs 1.2 Per Share,10,INE680Z01018,,
2026-09-18,2026-09-18,BALUFORGE,Balu Forge Industries Limited,EQ,DIVIDEND,0.15,Dividend - Re 0.15 Per Share,10,INE011E01029,,
2026-09-18,2026-09-18,BBTCL,B&B Triplewall Containers Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE01EE01011,,
2026-09-18,2026-09-18,BCLIND,Bcl Industries Limited,EQ,DIVIDEND,0.35,Dividend - Re 0.35 Per Share,1,INE412G01016,,
2026-09-18,2026-09-18,CAPLIPOINT,Caplin Point Laboratories Limited,EQ,DIVIDEND,4.00,Dividend - Rs 4 Per Share,2,INE475E01018,,
2026-09-18,2026-09-19,CEINSYS,Ceinsys Tech Limited,EQ,DIVIDEND,3.50,Dividend - Rs 3.50 Per Share,10,INE016Q01014,,
2026-09-18,2026-09-18,COCHINSHIP,Cochin Shipyard Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.5 Per Share,5,INE704P01017,,
2026-09-18,2026-09-19,DCW,DCW Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,2,INE500A01029,,
2026-09-18,2026-09-19,DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ,DIVIDEND,1.25,Dividend - Rs 1.25 Per Share,1,INE0HR601026,,
2026-09-18,2026-09-18,DIAMONDYD,Prataap Snacks Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,5,INE393P01035,,
2026-09-18,2026-09-18,DONEAR,Donear Industries Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,2,INE668D01028,,
2026-09-18,2026-09-18,ECORECO,Eco Recycling Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE316A01038,,
2026-09-18,2026-09-18,EKC,Everest Kanto Cylinder Limited,EQ,DIVIDEND,0.70,Dividend - Re 0.70 Per Share,2,INE184H01027,,
2026-09-18,2026-09-18,EMMVEE,Emmvee Photovoltaic Power Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Sh,2,INE1C6T01020,,
2026-09-18,2026-09-19,EMSLIMITED,EMS Limited,EQ,DIVIDEND,1.50,Dividend - Rs 1.50 Per Share,10,INE0OV601013,,
2026-09-18,2026-09-18,ENIL,Entertainment Network (India) Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE265F01028,,
2026-09-18,2026-09-18,FOODSIN,Foods & Inns Limited,EQ,DIVIDEND,0.30,Dividend - Re 0.30 Per Share,1,INE976E01023,,
2026-09-18,2026-09-19,GAJA,Gaja Alternative Asset Management Limited,EQ,DIVIDEND,0.75,Dividend - Re 0.75 Per Share,5,INE18UN01038,,
2026-09-18,2026-09-18,GENUSPOWER,Genus Power Infrastructures Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,1,INE955D01011,,
2026-09-18,2026-09-18,GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,DIVIDEND,6.70,Dividend - Rs 6.70 Per Share,10,INE382Z01011,,
2026-09-18,2026-09-18,GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,DIVIDEND,17.70,Dividend - Rs 17.70 Per Share,10,INE186A01019,,
2026-09-18,2026-09-18,HGS,Hinduja Global Solutions Limited,EQ,DIVIDEND,5.00,Dividend - Rs 5 Per Share,10,INE170I01016,,
2026-09-18,2026-09-18,INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,DIVIDEND,4.00,Dividend - Rs 4 Per Share,10,INE681B01017,,
2026-09-18,2026-09-18,JNKINDIA,JNK India Limited,EQ,DIVIDEND,0.30,Dividend - Re 0.30 Per Share,2,INE0OAF01028,,
2026-09-18,2026-09-18,KAMDHENU,Kamdhenu Limited,EQ,DIVIDEND,0.40,Dividend - Re 0.40 Per Share,1,INE390H01012,,
2026-09-18,2026-09-19,KIRANVYPAR,Kiran Vyapar Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE555P01013,,
2026-09-18,2026-09-18,KITEX,Kitex Garments Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,1,INE602G01020,,
2026-09-18,2026-09-18,KRBL,KRBL Limited,EQ,DIVIDEND,4.50,Dividend - Rs 4.50 Per Share,1,INE001B01026,,
2026-09-18,2026-09-18,KRSNAA,Krsnaa Diagnostics Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,5,INE08LI01020,,
2026-09-18,2026-09-18,LAKSHMIMIL,Lakshmi Mills Company Limited,EQ,DIVIDEND,10.00,Dividend - Rs 10 Per Share,100,INE938C01019,,
2026-09-18,2026-09-18,LTFOODS,LT Foods Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,1,INE818H01020,,
2026-09-18,2026-09-18,LUXIND,Lux Industries Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,2,INE150G01012,,
2026-09-18,2026-09-18,MANBA,Manba Finance Limited,EQ,DIVIDEND,0.25,Dividend - Re 0.25 Per Share,10,INE939X01013,,
2026-09-18,2026-09-18,MARATHON,Marathon Nextgen Realty Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,5,INE182D01012,,
2026-09-18,2026-09-19,MEDICAMEQ,Medicamen Biotech Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE646B01010,,
2026-09-18,2026-09-18,MKEXIM,M.K. Exim (India) Limited,EQ,DIVIDEND,0.60,Dividend - Re 0.60 Per Share,10,INE227F01010,,
2026-09-18,2026-09-19,MOREPENLAB,Morepen Laboratories Limited,EQ,DIVIDEND,0.20,Dividend - Re 0.20 Per Share,2,INE083A01026,,
2026-09-18,2026-09-19,NAVKARURB,Navkar Urbanstructure Limited,EQ,DIVIDEND,0.01,Dividend - Re 0.005 Per Share,1,INE268H01036,,
2026-09-18,2026-09-18,NPST,Network People Services Technologies Limited,EQ,DIVIDEND,2.00,Dividend - Rs 2 Per Share,10,INE0FFK01017,,
2026-09-18,2026-09-19,OLECTRA,Olectra Greentech Limited,EQ,DIVIDEND,0.60,Dividend - Re 0.60 Per Share,4,INE260D01016,,
2026-09-18,2026-09-19,PARKHOTELS,Apeejay Surrendra Park Hotels Limited,EQ,DIVIDEND,0.75,Dividend - Re 0.75 Per Share,1,INE988S01028,,
2026-09-18,2026-09-18,PGEL,PG Electroplast Limited,EQ,DIVIDEND,0.25,Dividend - Re 0.25 Per Share,1,INE457L01011,,
2026-09-18,2026-09-18,PICCADIL,Piccadily Agro Industries Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE546C01010,,
2026-09-18,2026-09-19,PKTEA,The Peria Karamalai Tea & Produce Company Limited,EQ,DIVIDEND,0.75,Dividend - Re 0.75 Per Share,10,INE431F01018,,
2026-09-18,2026-09-18,PRAVEG,Praveg Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE722B01019,,
2026-09-18,2026-09-18,RAMKY,Ramky Infrastructure Limited,EQ,DIVIDEND,1.00,Dividend - Re 1 Per Share,10,INE874I01013,,
2026-09-18,2026-09-18,RCF,Rashtriya Chemicals and Fertilizers Limited,EQ,DIVIDEND,1.34,Dividend - Rs 1.34 Per Share,10,INE027A01015,,
2026-09-18,2026-09-18,RELAXO,Relaxo Footwears Limited,EQ,DIVIDEND,3.50,Dividend - Rs 3.50 Per Share,1,INE131B01021,,
2026-09-18,2026-09-18,RELCHEMQ,Reliance Chemotex Industries Limited,EQ,DIVIDEND,0.50,Dividend - Re 0.50 Per Share,10,INE750D01016,,
2026-09-18,2026-09-18,RELIABLE,Reliable Data Services Limited,EQ,DIVIDEND,0.05,Dividend - Re 0.05 Per Share,10,INE375Y01018,,
2026-09-18,2026-09-20,RITES,RITES Limited,EQ,DIVIDEND,2.75,Dividend - Rs 2.75 Per Share,10,INE320J01015,,
2026-09-18,2026-09-18,SERVOTECH,Servotech Renewable Power System Limited,EQ,DIVIDEND,0.02,Dividend - Re 0.02 Per Share,1,INE782X01017,,
2026-09-18,2026-09-18,SHARDAMOTR,Sharda Motor Industries Limited,EQ,DIVIDEND,20.00,Dividend - Rs 20 Per Share,2,INE597I01010,,
2026-09-18,2026-09-18,SHERVANI,Shervani Industrial Syndicate Limited,EQ,DIVIDEND,2.50,Dividend - Rs 2.50 Per Share,10,INE011D01013,,
2026-09-18,2026-09-18,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,EQ,DIVIDEND,2.10,Dividend - Rs 2.10 Per Share,10,INE712K01011,,
2026-09-18,2026-09-18,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,EQ,DIVIDEND,3.00,Dividend - Rs 3 Per Share,10,INE917H01012,,
